,DateTime,Hydro,Coal,Petroleum Liquids,All,Wind,Natural Gas,Other Renewable
0,2001-01-01,111.006333333,2406.43125,3.9905,2527.67266667,,0.211333333333,0.63875
1,2001-02-01,107.081416667,2415.05725,3.79316666667,2532.42975,,0.274333333333,0.6
2,2001-03-01,104.576166667,2409.74225,3.59016666667,2524.55741667,,0.340083333333,0.545833333334
3,2001-04-01,103.55075,2416.48825,3.53683333333,2530.48658333,,0.421666666667,0.495
4,2001-05-01,102.1685,2412.53716667,3.35483333333,2525.06508333,,0.483833333333,0.446583333334
5,2001-06-01,102.254083333,2411.97283333,3.32358333333,2524.1715,,0.483,0.391333333334
6,2001-07-01,106.859916667,2426.72341667,3.32016666667,2543.06791667,,0.478416666667,0.34225
7,2001-08-01,111.737083333,2430.12633333,3.19208333333,2550.69858333,,0.459666666667,0.315166666667
8,2001-09-01,116.583916667,2415.81625,3.10075,2540.55358333,,0.434416666667,0.268583333334
9,2001-10-01,120.773083333,2427.17983333,3.24108333333,2555.96983333,,0.4445,0.206416666667
10,2001-11-01,123.497583333,2456.55433333,3.32308333333,2588.26866667,,0.510166666667,0.1495
11,2001-12-01,128.479583333,2473.49166667,3.05108333333,2610.13508333,,0.592083333333,0.0870000000003
12,2002-01-01,132.718,2467.62691667,3.21425,2608.85883333,,0.67025,0.0342500000003
13,2002-02-01,135.944166667,2472.28291667,3.32016666667,2616.765,,0.666083333333,0.108666666667
14,2002-03-01,141.233416667,2476.28258333,3.50741666667,2626.07166667,,0.649833333333,0.15125
15,2002-04-01,144.685583333,2480.87716667,3.46958333333,2633.80458333,,0.62125,0.196333333334
16,2002-05-01,149.978,2474.65216667,3.65858333333,2632.871,,0.600833333333,0.25675
17,2002-06-01,154.010333333,2461.16083333,3.59458333333,2623.60191667,,0.63625,0.312166666667
18,2002-07-01,154.128916667,2455.38116667,3.54516666667,2618.20116667,,0.684333333333,0.345333333334
19,2002-08-01,154.474,2460.98916667,3.72216666667,2624.77133333,,0.754083333333,0.343666666667
20,2002-09-01,154.2065,2478.63033333,3.79358333333,2642.7255,,0.828,0.390416666667
21,2002-10-01,153.483916667,2468.02608333,3.71208333333,2631.50083333,,0.85725,0.4465
22,2002-11-01,150.849416667,2449.53425,3.80975,2611.31291667,,0.83625,1.54533333333
23,2002-12-01,146.390916667,2446.73208333,4.30941666667,2605.8455,,0.80825,3.17141666667
24,2003-01-01,143.658666667,2452.27575,4.32425,2610.17725,4.9065,0.787166666667,4.95666666667
25,2003-02-01,144.051416667,2436.90353583,4.44645666667,2596.70116583,6.23383333333,0.800535,6.31882416667
26,2003-03-01,144.607583333,2438.4856325,4.27072916667,2600.36019083,7.8695,0.806595833333,7.98989833333
27,2003-04-01,143.784666667,2407.736645,4.25084583333,2570.63533417,9.66933333333,0.753928333333,9.8244725
28,2003-05-01,142.185416667,2398.82408917,4.2253575,2561.6375375,11.0745,0.716150833333,11.26438
29,2003-06-01,139.733333333,2407.25282333,4.2930125,2569.408565,12.657,0.707394166667,12.8813708333
30,2003-07-01,136.86925,2421.26184833,4.12332916667,2581.5746525,13.71525,0.672841666667,13.9742783333
31,2003-08-01,133.646666667,2410.25598167,3.88491833333,2568.15951333,14.70475,0.6252725,14.9983525
32,2003-09-01,130.414833333,2387.33297083,3.85495416667,2543.13823667,15.8296666667,0.5897375,16.1579266667
33,2003-10-01,128.779333333,2378.930385,3.75826583333,2534.51951667,17.22675,0.53948,17.5896675
34,2003-11-01,129.232916667,2362.19198333,3.63359833333,2518.93183417,17.924,0.710904166667,18.3216583333
35,2003-12-01,129.675083333,2352.5599925,3.33715416667,2509.60141167,18.0079166667,0.717851666667,18.4402325
36,2004-01-01,128.822,2338.68536,3.20256583333,2494.67550917,17.8769166667,0.753676666667,18.3438066667
37,2004-02-01,125.699,2346.29581167,3.1584375,2499.01002583,17.7531666667,0.785438333333,18.24623
38,2004-03-01,118.8795,2356.6372675,3.036915,2502.06091417,17.3660833333,0.812578333333,17.8782966667
39,2004-04-01,115.598583333,2367.45717833,2.95077416667,2509.2823375,17.1003333333,0.8919675,17.6399491667
40,2004-05-01,115.471166667,2373.34757167,2.89984416667,2515.54046167,17.6498333333,0.9454075,18.2167141667
41,2004-06-01,115.394666667,2396.64731917,2.7865675,2538.84679083,17.7848333333,0.948485,18.3855541667
42,2004-07-01,113.391583333,2378.64253583,3.0048725,2519.30169833,17.9968333333,0.98079,18.6307183333
43,2004-08-01,111.779333333,2394.91016417,3.12778916667,2534.347685,18.2100833333,1.01035833333,18.8796866667
44,2004-09-01,110.870666667,2418.11290333,3.08681583333,2556.56189583,18.09625,1.00252083333,18.8012341667
45,2004-10-01,110.36725,2453.68160667,3.2321775,2591.7025625,17.9909166667,1.01989083333,18.7269725
