,DateTime,Hydro,Utility Solar,Petroleum Liquids,All,Wind,Natural Gas,Other Renewable
0,2001-01-01,0.261916666667,,5.83358333333,625.157666667,,610.4275,8.63466666667
1,2001-02-01,0.279416666667,,4.72408333333,651.911166667,,633.583333333,8.56475
2,2001-03-01,0.289083333333,,4.74441666667,662.670083333,,640.156916667,8.47041666667
3,2001-04-01,0.290166666667,,4.70225,655.175583333,,631.452666667,8.41325
4,2001-05-01,0.2945,,4.54866666667,655.82425,,628.371833333,8.33141666667
5,2001-06-01,0.2935,,4.516,642.919833333,,611.05675,8.2535
6,2001-07-01,0.295,,4.52975,635.414666667,,599.522083333,8.18175
7,2001-08-01,0.296583333333,,4.74483333333,627.22125,,586.602833333,8.13975
8,2001-09-01,0.294916666667,,4.72141666667,610.74075,,565.4705,8.14166666667
9,2001-10-01,0.292416666667,,4.71075,593.512416667,,543.802583333,8.1125
10,2001-11-01,0.28925,,4.65966666667,575.373,,522.199166667,8.09733333333
11,2001-12-01,0.303833333333,,4.76616666667,594.203666667,,536.3745,8.13383333333
12,2002-01-01,0.307,,4.794,588.063666667,,525.868333333,8.146
13,2002-02-01,0.320916666667,,4.95891666667,568.854083333,,511.237416667,8.14808333333
14,2002-03-01,0.342916666667,,5.42258333333,565.273583333,,511.407583333,8.16141666667
15,2002-04-01,0.371166666667,,5.54883333333,570.24825,,517.501916667,8.19525
16,2002-05-01,0.376,,5.60266666667,555.388833333,,506.52375,8.21583333333
17,2002-06-01,0.377166666667,,5.39808333333,534.925666667,,490.737333333,8.26475
18,2002-07-01,0.391916666667,,5.36733333333,526.073666667,,485.9485,8.3035
19,2002-08-01,0.42275,,5.24833333333,529.221083333,,493.667,8.37175
20,2002-09-01,0.447,,5.31,526.72425,,495.717583333,8.4135
21,2002-10-01,0.46875,,5.21275,523.23425,,496.764666667,8.43383333333
22,2002-11-01,0.484583333333,,5.11208333333,515.428833333,,492.517416667,8.49391666667
23,2002-12-01,0.498166666667,,4.93,494.005166667,,475.770416667,8.4835
24,2003-01-01,0.501666666667,,4.86325,468.428666667,,454.583,8.48066666667
25,2003-02-01,0.493423333333,,4.60595333333,461.2133575,,447.719341667,8.39455583333
26,2003-03-01,0.484263333333,,4.11690666667,447.418364167,,434.472933333,8.3441775
27,2003-04-01,0.472353333333,,3.99452666667,423.33596,,410.528275,8.34072166667
28,2003-05-01,0.485443333333,,3.97123,426.447935,,413.628533333,8.36272833333
29,2003-06-01,0.500283333333,,4.15285,447.743195,,434.713291667,8.37677
30,2003-07-01,0.500373333333,,4.14338666667,455.752226667,,442.694883333,8.41366666667
31,2003-08-01,0.48163,,4.00234,438.977219167,,426.036558333,8.45677416667
32,2003-09-01,0.46947,,3.85379333333,437.111435833,,424.300483333,8.48768916667
33,2003-10-01,0.461393333333,,3.89708,424.478145,,411.610408333,8.5092625
34,2003-11-01,0.460483333333,,3.9867,414.786380833,,401.8455,8.49369666667
35,2003-12-01,0.450156666667,,4.04323666667,406.755733333,,393.778758333,8.48358
36,2004-01-01,0.45508,,4.04377333333,411.618311667,,398.658933333,8.46052333333
37,2004-02-01,0.4746575,,4.34410083333,408.393550833,,395.768823333,7.8059675
38,2004-03-01,0.483460833333,,4.30078833333,412.351798333,,400.370285833,7.1972625
39,2004-04-01,0.496590833333,,4.27078583333,419.131004167,,407.883574167,6.48005166667
40,2004-05-01,0.522668333333,,4.1568725,434.806663333,,424.322658333,5.80446166667
41,2004-06-01,0.532164166667,,3.96223333333,435.534585,,425.964765,5.07542
42,2004-07-01,0.536725833333,,4.03580583333,444.2587675,,435.334126667,4.35210666667
43,2004-08-01,0.534875,,4.20317666667,462.712475,,454.392589167,3.5818325
44,2004-09-01,0.525394166667,,4.44206416667,473.57642,,465.771876667,2.83708416667
45,2004-10-01,0.512040833333,,4.53294333333,485.769598333,,478.598436667,2.1261775
46,2004-11-01,0.5240925,,4.63435083333,503.016000833,,496.439980833,1.41757666667
47,2004-12-01,0.541049166667,,4.52426083333,501.6074675,,495.824048333,0.71811
48,2005-01-01,0.5611675,,4.76415166667,504.441173333,,499.115854167,0.0
49,2005-02-01,0.550980833333,,4.40620416667,510.753926667,,504.712085,1.08465583333
50,2005-03-01,0.5469175,,4.3610925,506.527260833,,499.532206667,2.08704333333
51,2005-04-01,0.533451666667,,4.32008083333,506.603804167,,498.557528333,3.19274416667
52,2005-05-01,0.510363333333,,4.33467333333,485.6321325,,476.780825833,4.00627166667
53,2005-06-01,0.511315833333,,4.40324,481.621719167,,471.706285833,5.00087916667
54,2005-07-01,0.516359166667,,4.19197166667,473.4425375,,462.691438333,6.04276916667
55,2005-08-01,0.530126666667,,3.94489333333,482.682461667,,471.083363333,7.12407833333
56,2005-09-01,0.551164166667,,3.60871333333,476.547559167,,464.188796667,8.198885
57,2005-10-01,0.5587125,,3.353485,483.520669167,,470.381508333,9.2269625
58,2005-11-01,0.5370525,,3.08510083333,500.617093333,,486.7011675,10.2937716667
59,2005-12-01,0.515338333333,,3.07063333333,502.077205,,487.1199975,11.371235
60,2006-01-01,0.492416666667,,2.72298083333,497.310379167,,481.685564167,12.4094166667
61,2006-02-01,0.481633333333,,2.85405333333,501.368248333,,485.60393,12.4286325
62,2006-03-01,0.46538,,3.18364083333,518.799925,,502.812625,12.3382791667
63,2006-04-01,0.458399166667,,3.45930833333,520.738190833,,504.444123333,12.3763591667
