,DateTime,Hydro,Coal,Utility Solar,Petroleum Liquids,All,Wind,Natural Gas,Petroleum Coke,Other Renewable,Nuclear
1,2001-02-01,68.78975,2660.95466667,,9.18233333333,4064.47566667,75.7685833333,102.545583333,42.8016666667,166.360574167,990.157
2,2001-03-01,68.61075,2669.86616667,,8.45075,4081.68966667,78.2905,104.869166667,43.2058333333,169.2699925,993.4895
3,2001-04-01,67.5629166667,2687.2105,,7.672,4138.54366667,77.4884166667,111.083333333,43.8059166667,168.487549167,1028.03066667
4,2001-05-01,67.2468333333,2714.01066667,,7.55391666667,4167.90233333,77.8213333333,110.625916667,43.80775,167.792056667,1031.54941667
5,2001-06-01,64.89375,2733.47608333,,6.6195,4207.41041667,78.63525,108.934083333,45.7859166667,166.555355833,1055.69766667
6,2001-07-01,60.8241666667,2747.62258333,,6.13033333333,4224.48833333,79.7236666667,113.963666667,44.657,164.9072875,1061.00575
7,2001-08-01,62.8845,2770.94516667,,5.64583333333,4260.20991667,77.8860833333,125.918166667,46.523,161.626244167,1061.08025
8,2001-09-01,66.1393333333,2765.72475,,4.61525,4289.51016667,78.5816666667,123.752916667,48.576,160.622475833,1094.21216667
9,2001-10-01,69.4355,2775.90675,,4.64575,4321.5915,80.1564166667,130.697416667,48.8833333333,159.784858333,1105.96716667
10,2001-11-01,71.2964166667,2794.02725,,4.41283333333,4341.36833333,77.6520833333,129.734833333,49.6615833333,156.247323333,1109.26325
11,2001-12-01,70.64625,2805.07291667,,4.36133333333,4369.28491667,75.875,131.560583333,49.2359166667,152.2360825,1128.93141667
12,2002-01-01,67.4236666667,2826.684,,4.24983333333,4398.16366667,75.4865,132.66275,50.1495,148.8904275,1140.402
13,2002-02-01,66.8205833333,2834.78383333,,5.45683333333,4413.77575,73.8508333333,133.334916667,50.1864166667,147.130718333,1147.98666667
14,2002-03-01,65.5265,2840.56033333,,7.02266666667,4448.72208333,72.9095833333,132.527916667,51.3606666667,145.952605833,1177.66425
15,2002-04-01,65.3936666667,2837.98208333,,7.39516666667,4446.24091667,76.7006666667,125.94675,52.4373333333,150.135710833,1178.97983333
16,2002-05-01,63.79975,2858.1525,,7.55983333333,4455.54016667,75.9176666667,128.394916667,52.3675,150.94804,1166.44358333
17,2002-06-01,63.1955,2913.55716667,,7.88833333333,4480.8405,75.4475833333,126.546916667,55.324,152.645923333,1134.04775
18,2002-07-01,64.4861666667,2922.68741667,,7.99233333333,4485.29541667,73.47825,121.934,56.4909166667,153.421220833,1130.76191667
19,2002-08-01,68.429,2927.76808333,,8.19825,4493.29441667,76.0020833333,114.722916667,56.22125,158.555265833,1131.65758333
20,2002-09-01,67.7176666667,2944.53908333,,8.56425,4529.34891667,75.0753333333,132.470833333,57.5910833333,160.1671125,1130.39175
21,2002-10-01,67.4345,2966.05025,,8.88341666667,4535.4945,75.9086666667,134.20675,58.2058333333,163.588175,1109.2425
22,2002-11-01,66.3858333333,2975.29275,,9.33216666667,4542.974,77.6870833333,142.047333333,59.4880833333,167.4812025,1094.988
23,2002-12-01,67.2946666667,2975.73266667,,9.82691666667,4574.64241667,80.50425,149.1235,60.7523333333,172.366758333,1111.95833333
24,2003-01-01,67.8810833333,2971.294,,11.285,4587.58291667,81.4799166667,153.702833333,61.4704166667,176.719050833,1117.819
25,2003-02-01,66.4339525,2988.6194525,,11.8096383333,4611.91763,80.0040975,163.326671667,62.7903333333,173.900035,1118.01083333
26,2003-03-01,65.8227283333,2975.6863825,,11.1226891667,4600.24338,77.696975,167.53495,61.3599166667,171.321438333,1120.085
27,2003-04-01,65.82814,2964.43589583,,11.4672583333,4592.0095325,75.8033841667,171.962956667,60.87,168.975125833,1121.33816667
28,2003-05-01,64.84511,2935.7438525,,11.2824091667,4570.94459167,74.2855675,172.373251667,60.2240833333,166.256346667,1133.70033333
29,2003-06-01,63.9196183333,2894.98985583,,10.6146475,4559.38670083,74.6683441667,177.91445,56.8031666667,164.7342175,1164.18375
30,2003-07-01,66.3148333333,2886.50229583,,11.0205375,4550.11437917,74.6081541667,176.044225833,58.7281666667,164.073175833,1161.09641667
31,2003-08-01,62.1826775,2867.40777917,,11.3440575,4518.44063833,72.3823808333,170.7041,59.4184166667,160.497688333,1161.00566667
32,2003-09-01,59.809125,2851.0752725,,10.8508241667,4468.75179083,72.6474708333,142.1723425,59.7805,159.3787125,1160.23625
33,2003-10-01,58.925445,2850.26186333,,10.4712266667,4460.51577833,71.2251433333,142.373061667,59.0196666667,157.697485833,1156.60658333
34,2003-11-01,59.9577158333,2858.60521,,10.0309425,4437.23345917,70.50729,132.733199167,58.7325,155.330045,1137.00658333
35,2003-12-01,60.1427225,2844.59799583,,10.0711966667,4382.14847333,68.3447308333,125.157266667,58.3948333333,152.047485833,1107.07191667
36,2004-01-01,61.5259408333,2833.35063417,,9.504365,4363.67722,67.697575,121.465320833,55.7831666667,149.754184167,1107.9585
37,2004-02-01,65.2040016667,2826.99611083,,9.38711083333,4359.34619583,71.7456908333,116.401339167,55.8830833333,153.528475833,1107.51041667
38,2004-03-01,68.2142258333,2820.67403083,,9.14924916667,4341.8261225,75.7099158333,114.702523333,56.1008333333,157.671045,1090.84858333
39,2004-04-01,70.2601908333,2878.39760333,,8.70278666667,4365.90698333,80.1180833333,114.935748333,56.2035833333,162.458429167,1050.3685
40,2004-05-01,71.4721,2902.5230825,,9.0759925,4371.156695,86.6571208333,121.515475833,57.2369166667,168.892921667,1015.66616667
41,2004-06-01,72.1783366667,2932.81901417,,9.46602,4379.42681417,93.4489875,119.620495833,58.3034166667,176.932686667,984.957833333
42,2004-07-01,70.5657716667,2949.2683175,,10.6050558333,4418.86403667,99.25631,143.822208333,56.3400833333,183.287639167,979.64675
43,2004-08-01,70.6532916667,2942.33678167,,11.2492191667,4440.04657583,105.124713333,165.114983333,54.9876666667,190.737031667,979.269333333
44,2004-09-01,70.5754608333,2933.6419475,,12.08946,4462.79324,107.51499,191.266463333,54.2359166667,193.753893333,981.184666667
45,2004-10-01,69.2222841667,2882.05957083,,12.5190775,4441.05185167,113.419099167,194.576838333,52.0719166667,199.428770833,1004.94058333
46,2004-11-01,66.6243508333,2799.64795083,,12.8786083333,4402.6659,117.7781,205.794825833,47.6239166667,204.632584167,1039.21733333
47,2004-12-01,65.0785766667,2763.81351333,,12.726165,4416.84369333,127.431415,215.962025,47.7491666667,215.763674167,1069.136
48,2005-01-01,64.5607175,2745.82044833,,13.6919566667,4418.24957333,131.873084167,225.605563333,51.0005,221.008996667,1069.60158333
49,2005-02-01,63.2822241667,2715.93628917,,12.4702933333,4384.67661917,139.310823333,220.766585833,49.70575,228.860583333,1066.76691667
50,2005-03-01,62.1189466667,2733.71737,,12.2848941667,4400.66522,144.5648275,216.666406667,50.7691666667,234.379464167,1063.92333333
51,2005-04-01,60.0411891667,2703.79449333,,11.9905208333,4406.4704725,149.600303333,213.345793333,47.5090833333,238.9700425,1104.13575
52,2005-05-01,58.0447633333,2701.3481075,,11.5296741667,4423.34119333,154.018275,200.143791667,48.4719166667,242.734250833,1134.45475
53,2005-06-01,56.7863333333,2685.12298833,,11.2286508333,4407.91478083,157.220060833,200.494463333,49.07525,245.227899167,1133.7165
54,2005-07-01,54.9920866667,2665.07326833,,9.5945025,4372.94915167,156.6685625,186.738574167,48.5021666667,244.088040833,1138.08358333
55,2005-08-01,53.0066841667,2683.86254,,9.95455333333,4397.83154167,158.01345,197.4057075,48.3549166667,244.597266667,1134.99541667
56,2005-09-01,52.2627933333,2673.34650667,,9.45320666667,4384.55445333,159.638178333,198.145856667,45.1250833333,246.20029,1134.54958333
57,2005-10-01,51.0358183333,2677.1685975,,8.8972275,4376.87055667,159.232343333,190.021455,44.1020833333,245.520570833,1134.85116667
58,2005-11-01,50.0049358333,2712.95552417,,8.52366583333,4427.60055083,164.804514167,202.882773333,43.7771666667,250.70644,1133.3375
