,DateTime,Hydro,Coal,Utility Solar,Petroleum Liquids,All,Wind,Natural Gas,Petroleum Coke,Other Renewable
0,2001-01-01,47.5576666667,9672.20916667,,27.0361666667,10214.1391667,,194.305,13.9205833333,9.54835833333
1,2001-02-01,47.0581666667,9658.29766667,,26.1420833333,10208.01675,,199.242666667,15.8484166667,9.47628916667
2,2001-03-01,45.6531666667,9605.809,,26.0375,10163.0775,,206.527083333,15.7866666667,9.4525925
3,2001-04-01,42.5138333333,9597.50683333,,27.2490833333,10167.14775,,217.169416667,18.7865833333,9.44579666667
4,2001-05-01,41.44225,9625.36358333,,27.292,10207.04875,,227.5595,21.9656666667,9.54845583333
5,2001-06-01,40.1389166667,9612.77766667,,28.4200833333,10201.4803333,,230.063083333,25.3253333333,9.58285333333
6,2001-07-01,39.58175,9592.21166667,,29.05225,10196.8360833,,243.522333333,27.5304166667,9.59836166667
7,2001-08-01,39.1420833333,9608.00425,,28.56725,10242.3349167,,273.089,28.2235833333,9.68994916667
8,2001-09-01,37.6573333333,9622.05041667,,27.64925,10259.0776667,,280.55625,25.4449166667,9.627145
9,2001-10-01,36.2831666667,9698.56283333,,26.77425,10350.8935,,297.47475,24.2388333333,9.65270083333
10,2001-11-01,36.1651666667,9708.39408333,,25.7386666667,10363.6505833,,304.048333333,25.7266666667,9.56179333333
11,2001-12-01,36.0609166667,9769.94816667,,26.4759166667,10429.8879167,,309.344083333,25.9115,9.4434575
12,2002-01-01,34.2725,9804.975,,26.1238333333,10467.3453333,,315.204416667,25.304,9.6622025
13,2002-02-01,32.3123333333,9867.30791667,,26.6564166667,10524.30275,,311.555,24.5096666667,10.0090016667
14,2002-03-01,32.322,9977.34633333,,26.7765833333,10623.38675,,302.120916667,24.6088333333,10.23106
15,2002-04-01,33.4378333333,9997.00308333,,26.50675,10635.273,,297.236083333,21.6089166667,10.4000141667
16,2002-05-01,34.31125,10066.3073333,,25.33625,10683.31925,,278.57275,19.63075,10.28603
17,2002-06-01,34.79625,10095.1201667,,23.4560833333,10723.8620833,,294.907333333,18.4101666667,10.3221708333
18,2002-07-01,33.1635,10066.58975,,22.1098333333,10680.6535833,,285.791083333,16.0439166667,10.197925
19,2002-08-01,33.3656666667,10032.20725,,21.612,10615.7953333,,257.931,14.0933333333,9.94347333333
20,2002-09-01,34.9216666667,10018.7114167,,21.4078333333,10601.5313333,,256.84,15.2625833333,9.74380083333
21,2002-10-01,36.0635833333,9938.90241667,,21.6295833333,10513.112,,246.7245,17.0901666667,9.58703
22,2002-11-01,36.3444166667,9843.75341667,,21.5845833333,10420.5060833,,242.461833333,18.55925,9.84130833333
23,2002-12-01,35.05575,9790.32466667,,19.4246666667,10375.4268333,,248.658583333,19.36275,9.93083916667
24,2003-01-01,35.3294166667,9813.02341667,,18.67875,10407.3514167,,254.1195,19.26175,9.92834583333
25,2003-02-01,33.4839166667,9814.6556275,,18.3540225,10424.9259375,,268.351749167,19.8206666667,9.88920666667
26,2003-03-01,33.7055275,9786.64127083,,17.2553825,10424.3439283,,288.360949167,21.6679166667,9.93189416667
27,2003-04-01,34.1273491667,9770.61782583,,15.3702766667,10412.9633708,,285.654711667,24.3450833333,9.98307
28,2003-05-01,32.7995075,9754.92633083,,15.1620691667,10411.8642492,,294.877979167,25.5901666667,10.2403066667
29,2003-06-01,33.2585,9751.23775083,,15.1731541667,10414.4012617,,293.70882,26.6535833333,10.5094166667
30,2003-07-01,33.68337,9834.29708917,,15.0623125,10491.9321442,,282.661869167,28.25425,10.7716991667
31,2003-08-01,34.7337658333,9824.544675,,14.9479433333,10478.1017133,,274.290303333,28.088,10.9411708333
32,2003-09-01,35.6930866667,9763.86643167,,15.0597183333,10401.3463917,,253.340995,25.8555833333,11.0716883333
33,2003-10-01,35.3754775,9822.7836725,,14.5039675,10456.1050467,,245.4997725,24.7689166667,11.2587358333
34,2003-11-01,36.3859466667,9946.78766583,,14.2794033333,10574.3885842,,237.873323333,21.65625,11.3477958333
35,2003-12-01,37.4827291667,10001.7049392,,14.3913325,10610.0302233,,217.625599167,21.2030833333,11.4265108333
36,2004-01-01,36.97675,10055.9109933,,14.2349616667,10647.53298,,203.185510833,21.2030833333,11.4474883333
37,2004-02-01,38.4133033333,10033.7008083,,14.2129441667,10607.7988592,,187.745589167,18.6288333333,10.9348916667
38,2004-03-01,38.7012341667,10031.1340025,,13.769515,10572.6162942,,157.716734167,16.412,10.3744208333
39,2004-04-01,38.7412058333,10114.2202808,,13.37176,10657.06269,,161.57542,14.4245,9.86960583333
