,DateTime,Hydro,Coal,Utility Solar,Petroleum Liquids,All,Wind,Natural Gas,Other Renewable,Geothermal
0,2001-01-01,601.92725,6.02366666667,,0.31025,778.911833333,,117.107166667,44.4445833333,
1,2001-02-01,604.083083333,6.14008333333,,0.234583333333,780.908,,117.571416667,43.7671666667,
2,2001-03-01,620.908083333,6.22883333333,,0.14675,797.265916667,,118.018666667,42.8953333333,
3,2001-04-01,632.31725,6.33775,,0.0744166666667,810.515916667,,120.46725,42.203,
4,2001-05-01,660.975333333,6.51808333333,,0.0524166666667,838.805166667,,120.396416667,41.9204166667,
5,2001-06-01,669.412916667,6.617,,0.0154166666667,846.89625,,120.330666667,41.57775,
6,2001-07-01,686.723916667,6.74075,,0.0133333333333,864.344416667,,120.426416667,41.4500833333,
7,2001-08-01,701.007416667,7.00558333333,,0.0145,872.774166667,,114.130416667,41.737,
8,2001-09-01,714.46475,7.14191666667,,0.0134166666667,869.120916667,,98.0791666667,40.7899166667,
9,2001-10-01,732.229666667,7.30566666667,,0.0126666666667,869.777583333,,81.2929166667,40.5125833333,
10,2001-11-01,734.351,7.4595,,0.0118333333333,855.870833333,,64.3071666667,41.4495833333,
11,2001-12-01,732.656583333,7.473,,0.00616666666667,833.840833333,,44.23625,41.6725833333,
12,2002-01-01,730.77675,7.556,,0.00541666666667,815.577666667,,27.4156666667,42.3585833333,
13,2002-02-01,722.320583333,7.455,,0.00425,810.385,,30.6059166667,43.0790833333,
14,2002-03-01,712.223166667,7.51583333333,,0.00425,811.30875,,40.8085833333,44.2398333333,
15,2002-04-01,704.910416667,7.51808333333,,0.00475,810.857416667,,47.6394166667,44.5753333333,
16,2002-05-01,712.7165,7.61291666667,,0.00391666666667,820.588666667,,49.39925,44.7285,
17,2002-06-01,722.272916667,7.62816666667,,0.00391666666667,830.324416667,,49.4525,45.0204166667,
18,2002-07-01,721.5255,7.55758333333,,0.0075,830.374333333,,49.9029166667,45.1660833333,
19,2002-08-01,710.56425,7.53733333333,,0.00633333333333,835.668333333,,66.6265,44.75975,
20,2002-09-01,702.020916667,7.57383333333,,0.00691666666667,837.889416667,,76.9139166667,45.26625,
21,2002-10-01,696.817166667,7.54291666667,,0.00691666666667,842.10475,,88.0900833333,43.7914166667,
22,2002-11-01,694.869083333,7.47033333333,,0.006,846.289333333,,95.0885,43.3750833333,
23,2002-12-01,695.6265,7.52725,,0.00775,859.31825,,106.949666667,43.7161666667,
24,2003-01-01,696.1695,7.52425,,0.00966666666667,868.578,,114.56825,45.0793333333,
