,DateTime,Hydro,Coal,Utility Solar,Petroleum Liquids,All,Natural Gas,Petroleum Coke,Other Renewable,Nuclear
0,2001-01-01,212.354333333,2063.70591667,,73.2826666667,3932.66966667,225.575,,125.999784167,1231.73241667
1,2001-02-01,208.924666667,2074.17341667,,65.15625,3959.477,224.2585,,128.937503333,1257.21666667
2,2001-03-01,216.11675,2088.9,,61.1215,3991.86641667,237.416083333,,129.858145,1256.77508333
3,2001-04-01,217.407166667,2057.21233333,,57.1039166667,3992.37433333,244.784333333,,130.57162,1282.59016667
4,2001-05-01,231.814333333,2099.16833333,,53.4188333333,4029.47958333,247.463916667,,131.07575,1263.07166667
5,2001-06-01,241.273083333,2072.95175,,50.5529166667,4013.47791667,255.51725,,134.145166667,1254.86925
6,2001-07-01,250.519916667,2029.58966667,,48.2726666667,4012.48158333,284.038833333,,136.24775,1258.95041667
7,2001-08-01,261.942416667,1979.188,,44.66775,4028.41325,329.806416667,,138.769666667,1267.14991667
8,2001-09-01,276.148833333,1976.75358333,,34.7008333333,4060.7625,356.584833333,,135.666083333,1271.43941667
9,2001-10-01,288.756333333,1968.2555,,30.5738333333,4086.42283333,382.462333333,,135.394833333,1269.59416667
10,2001-11-01,293.96,1964.29291667,,31.121,4051.47575,389.656666667,,133.83825,1225.71858333
11,2001-12-01,295.22375,1975.73866667,,31.5636666667,4044.97891667,383.900833333,,133.335416667,1212.21816667
12,2002-01-01,286.319083333,1924.86408333,,13.3086666667,3967.63675,383.579833333,,132.1055,1213.24033333
13,2002-02-01,287.093666667,1880.18825,,15.11125,3943.41533333,396.721083333,,131.795083333,1218.08275
14,2002-03-01,273.574666667,1860.12583333,,16.916,3933.43091667,413.89625,,132.597916667,1221.9605
15,2002-04-01,265.682,1890.65958333,,17.3836666667,3970.44625,421.807583333,,134.572666667,1226.14333333
16,2002-05-01,251.57925,1823.71308333,,17.5359166667,3942.61466667,434.932083333,,135.756333333,1264.91383333
17,2002-06-01,249.633416667,1819.92191667,,16.9589166667,3985.86191667,469.988333333,,137.850083333,1277.19433333
18,2002-07-01,248.856666667,1852.43558333,,17.9761666667,4057.101,505.477833333,,140.44125,1277.17216667
19,2002-08-01,236.366666667,1887.82358333,,21.1318333333,4103.14816667,526.576666667,,143.470333333,1274.37533333
20,2002-09-01,228.43225,1888.2305,,24.9641666667,4125.26925,562.660083333,,146.414,1262.97391667
21,2002-10-01,221.270666667,1898.75833333,,25.1754166667,4108.3105,566.22925,,147.749333333,1238.51916667
22,2002-11-01,216.548583333,1892.48016667,,24.5459166667,4125.63541667,576.658083333,,148.865083333,1256.84875
23,2002-12-01,218.10975,1914.22633333,,24.2471666667,4165.72558333,597.767416667,,150.343416667,1250.71983333
24,2003-01-01,221.21825,1958.6805,,24.0755,4200.09166667,608.405,,153.65725,1224.118
25,2003-02-01,219.887496667,2013.74544583,,22.973705,4248.74326,605.199265,,153.397690833,1224.33391667
26,2003-03-01,218.586690833,2045.97870833,,23.7328683333,4273.79619583,602.5436925,,153.196665,1221.11466667
27,2003-04-01,224.832131667,2059.17809583,,27.6976275,4296.46612083,602.047343333,,153.391300833,1221.29416667
28,2003-05-01,231.938159167,2070.7355575,,32.4961041667,4288.61921833,588.6342875,,153.343121667,1203.79508333
29,2003-06-01,241.284065,2091.9551025,,37.946575,4288.93945417,576.015329167,,153.636164167,1180.87716667
30,2003-07-01,248.188525833,2107.51259917,,39.5653225,4279.56486667,557.272716667,,154.073031667,1166.26475
31,2003-08-01,271.577355,2119.59682667,,38.9065533333,4280.90590167,520.72554,,153.679266667,1169.70283333
32,2003-09-01,275.750725833,2129.91172083,,36.8413458333,4260.4355975,478.7331275,,153.447788333,1179.2865
33,2003-10-01,270.618589167,2136.16244833,,39.1256258333,4261.23818833,452.975075833,,152.747904167,1203.5965
34,2003-11-01,272.0333025,2118.1133675,,42.8751666667,4271.49207917,449.5650725,,153.419790833,1229.74733333
35,2003-12-01,282.198585833,2102.9686875,,43.8397675,4276.66671333,431.15189,,153.0273375,1258.02975
36,2004-01-01,303.6199175,2112.79689,,44.9117808333,4327.30268417,422.396975833,,150.8649825,1287.48758333
37,2004-02-01,320.884780833,2112.33373167,,43.4665066667,4332.22798917,413.232539167,,149.436933333,1287.464
38,2004-03-01,339.919310833,2126.66338,,40.7886533333,4347.11795667,394.9968,,148.257168333,1291.02433333
39,2004-04-01,339.3326,2128.2539025,,36.3664483333,4295.6271675,394.241245,,147.6442275,1244.27425
40,2004-05-01,345.3356625,2130.10133667,,32.1987441667,4292.32378167,395.094246667,,146.783465,1237.54125
41,2004-06-01,331.615906667,2134.435165,,28.1657483333,4299.931155,391.928616667,,146.954115,1261.72716667
42,2004-07-01,317.704700833,2107.90960333,,26.6993033333,4280.02673833,400.581371667,,146.279630833,1275.9785
43,2004-08-01,301.496526667,2062.6446725,,25.4990508333,4246.292495,431.728758333,,145.091685833,1275.21466667
44,2004-09-01,297.1287125,2022.098635,,25.4050566667,4232.54847583,462.7294625,,144.2455725,1276.59508333
45,2004-10-01,304.813405833,1981.0903975,,23.6479533333,4218.66085,479.412246667,,144.667000833,1280.98625
46,2004-11-01,300.301440833,1998.13491333,,20.8357266667,4177.37347333,471.832796667,,144.2116425,1238.10833333
47,2004-12-01,285.4404925,1973.46152,,20.38221,4099.67850083,486.522601667,,143.952825833,1186.20091667
48,2005-01-01,256.8763325,1919.76197,,16.9375933333,3982.8757375,500.471635,0.404139166667,144.626945,1140.79758333
49,2005-02-01,227.706993333,1877.37818833,,16.5085208333,3909.9381675,499.668654167,0.413249166667,145.44628,1140.06475
50,2005-03-01,200.083465,1856.2466325,,16.3997475,3871.30160083,509.064351667,0.376811666667,146.148089167,1140.108
51,2005-04-01,182.667459167,1868.41271083,,16.0763608333,3914.83571083,511.831039167,0.312154166667,145.818725833,1186.8945
52,2005-05-01,160.390908333,1886.948625,,15.8939241667,3968.75118917,547.691793333,0.261251666667,143.8461725,1210.78691667
53,2005-06-01,163.533123333,1873.7736875,,15.3323875,4003.35338833,593.467903333,0.2059275,143.420028333,1210.62358333
54,2005-07-01,151.9651525,1899.00366833,,15.149485,4064.33233,641.38957,0.0981858333333,142.868095833,1210.77283333
55,2005-08-01,136.69214,1948.07720417,,14.589435,4123.843465,666.9768,0.0602441666667,143.341814167,1211.07866667
56,2005-09-01,128.286165833,1992.19336,,14.6763091667,4193.465455,700.306785833,0.0692583333333,143.73794,1211.04783333
57,2005-10-01,117.123016667,2013.77003083,,13.9434225,4224.07232333,744.155425,0.0780783333333,143.406604167,1188.39491667
58,2005-11-01,116.1200175,2010.37808417,,13.6666958333,4243.0331575,783.191433333,0.0853025,142.617230833,1173.77608333
59,2005-12-01,118.981400833,1985.22287833,,13.8640075,4262.91518833,775.052706667,0.0935708333333,143.1660225,1223.39266667
60,2006-01-01,129.213168333,2015.254155,,13.2925408333,4347.391915,773.532145,0.1027325,143.567084167,1269.38141667
61,2006-02-01,160.412373333,2071.51840583,,13.5666433333,4421.95525167,772.88453,0.0936225,142.775526667,1257.00366667
62,2006-03-01,192.848700833,2095.66453417,,14.7314816667,4476.32892417,773.100455833,0.0853125,142.287426667,1254.04166667
63,2006-04-01,203.019384167,2105.97387917,,14.4605866667,4490.00291583,767.237619167,0.0763716666667,142.5542,1253.04766667
64,2006-05-01,219.164406667,2107.41231917,,13.7611125,4475.70984083,751.327281667,0.0685491666667,143.352054167,1236.92316667
65,2006-06-01,218.301985,2139.62567,,13.02179,4453.41089167,731.175753333,0.0603066666667,144.0775675,1203.23933333
66,2006-07-01,228.479030833,2110.47633167,,13.0650925,4420.83926667,718.7443575,0.0515733333333,143.1111525,1203.20025
67,2006-08-01,234.064036667,2092.99342333,,12.4404841667,4391.59937,703.4800825,0.0424883333333,141.2834175,1203.46958333
68,2006-09-01,250.69265,2106.674555,,10.9315775,4445.609475,729.325580833,0.0334741666667,140.50367,1203.38575
69,2006-10-01,264.636358333,2117.1691975,,10.04584,4481.30274667,718.404569167,0.0246541666667,139.743453333,1227.11866667
70,2006-11-01,273.185274167,2092.13467583,,9.2209875,4489.69861333,685.233216667,0.01743,137.7208775,1288.15366667
71,2006-12-01,271.260846667,2112.48354,,8.51166166667,4520.20252667,696.524463333,0.00916166666667,136.892945833,1290.5495
72,2007-01-01,269.7294175,2145.3483225,,7.84606416667,4549.68629833,697.020903333,0.0,135.311995,1290.5085
73,2007-02-01,248.332841667,2146.71506167,,6.736585,4591.27054833,748.425423333,0.0,134.3632325,1303.45175
74,2007-03-01,228.57829,2128.32919667,,5.036325,4556.812955,777.160365,0.0,133.901675833,1280.59525
75,2007-04-01,236.267294167,2128.39133417,,5.25148333333,4542.4029575,786.26991,0.0,132.791411667,1249.52983333
76,2007-05-01,248.2846525,2121.26614917,,5.20247916667,4521.23365583,766.489860833,0.0,133.225285,1242.05283333
77,2007-06-01,265.95148,2102.2303775,,5.10578416667,4532.62632917,749.0941575,0.0,132.016470833,1273.68841667
78,2007-07-01,283.80658,2107.2423675,,4.40127416667,4546.29939,741.380211667,0.0,131.091791667,1273.67066667
79,2007-08-01,313.2170075,2130.52880333,,4.0147475,4603.298785,749.828074167,0.0,130.43293,1270.53625
80,2007-09-01,328.174299167,2125.94589083,,3.72447666667,4558.996885,695.255309167,0.0,129.935438333,1271.03766667
81,2007-10-01,336.1301775,2099.8213825,,3.66979333333,4500.95566083,655.806006667,0.0,128.647789167,1271.6355
82,2007-11-01,361.270079167,2126.17313333,,3.65513583333,4568.81488667,681.461068333,0.0,128.970791667,1261.7615
83,2007-12-01,387.01251,2184.59822833,,3.803645,4607.72397667,689.221864167,0.0,127.610016667,1209.85333333
84,2008-01-01,388.358085,2176.2211725,,5.30210833333,4587.54398583,705.089455833,0.0,126.069391667,1180.67425
85,2008-02-01,392.964865,2148.66407083,,7.3476625,4552.95619417,698.355505833,0.0,126.557579167,1172.94125
86,2008-03-01,410.047258333,2133.7508025,,7.81867333333,4591.32495333,724.440556667,0.0,126.679745833,1182.17491667
87,2008-04-01,404.875026667,2104.65590667,,8.4892275,4628.61304833,773.45859,0.0,127.8187325,1203.37825
88,2008-05-01,402.737860833,2104.82501583,,8.56861416667,4686.9110475,810.709114167,0.0,128.16545,1226.27891667
89,2008-06-01,385.838921667,2099.37306333,,8.80709833333,4669.57775917,811.199974167,0.0,128.3629375,1228.40708333
90,2008-07-01,380.481034167,2119.03260583,,8.83817416667,4730.6305875,857.981363333,0.0,128.59509,1227.875
91,2008-08-01,367.859648333,2113.67078833,,8.73630916667,4746.58601417,888.329039167,0.0,129.710925833,1230.63325
92,2008-09-01,350.296683333,2106.43919083,,8.846205,4770.9809125,933.848670833,0.0,130.069870833,1230.45425
93,2008-10-01,343.456386667,2141.83275833,,9.07691166667,4784.31330583,968.615393333,0.0,131.3158225,1179.38108333
94,2008-11-01,328.4247925,2135.505785,,9.31608583333,4758.09547833,953.525924167,0.0,131.279725833,1189.5265
95,2008-12-01,319.5120325,2113.04074,,8.69317833333,4759.3607175,934.4655725,0.0,131.761089167,1241.36941667
96,2009-01-01,349.3921675,2089.60419083,,7.37247083333,4788.14492083,935.117769167,0.0,132.129176667,1264.16383333
97,2009-02-01,381.403754167,2096.26403167,,6.20182333333,4855.78481333,959.5712275,0.0,130.502749167,1271.68958333
98,2009-03-01,382.540824167,2125.50595333,,5.68613583333,4874.7936675,938.556724167,0.0,129.7680525,1282.88033333
99,2009-04-01,390.5133375,2155.11377667,,4.64388333333,4863.32093417,899.569814167,0.0,129.240168333,1274.62741667
100,2009-05-01,387.742516667,2203.37856333,,4.46870166667,4835.1088675,874.238505833,0.0,128.670538333,1227.58025
101,2009-06-01,390.8055,2258.889155,,4.00552333333,4914.17944167,901.29309,0.0,128.815826667,1223.37066667
102,2009-07-01,396.315160833,2276.5328125,,3.53714333333,4929.77832833,893.808739167,0.0,129.999733333,1222.96725
103,2009-08-01,393.145190833,2268.6017425,,3.565005,4934.93280917,909.55528,0.0,131.206069167,1222.38
104,2009-09-01,388.133679167,2274.7576875,,3.45986166667,4952.44604083,948.777265833,0.0,131.174825,1203.53375
105,2009-10-01,378.324555833,2301.39488167,,3.3788625,5043.9879025,980.1644475,0.0,131.3521325,1246.80658333
106,2009-11-01,359.148689167,2283.06788333,,3.5005475,5031.38938417,1004.28100917,0.0,132.547716667,1246.39608333
107,2009-12-01,341.445004167,2290.470865,,3.73561833333,5028.57053583,1011.17246167,0.0,133.380241667,1245.977
108,2010-01-01,304.913500833,2346.03709083,,3.7649525,5083.3487125,1039.08977917,0.0,135.328581667,1251.88983333
109,2010-02-01,264.717795833,2402.07182167,,2.9655225,5102.974175,1042.555915,0.0,136.617278333,1251.78108333
110,2010-03-01,238.640946667,2433.45459,,3.70779833333,5109.86611917,1055.69856417,0.0,137.156864167,1238.97891667
111,2010-04-01,223.893370833,2466.1519775,,3.72095,5115.16843583,1078.1230575,0.0,137.159014167,1203.97641667
112,2010-05-01,204.8435325,2412.16011583,,4.00691916667,5105.52708583,1103.44811167,0.0,137.6579275,1241.3215
113,2010-06-01,211.4900975,2396.33105583,,4.24464083333,5081.2980475,1100.96076583,0.0,137.571575,1227.67225
114,2010-07-01,203.0250125,2400.62213417,,4.37693416667,5077.973605,1099.08275333,0.0,139.000445,1228.09475
115,2010-08-01,197.519750833,2432.31100917,,4.73806166667,5116.36647917,1110.4545425,0.0,139.125330833,1228.03791667
116,2010-09-01,205.3638,2465.81013667,,4.76622833333,5153.433995,1087.04278583,0.0,139.4148775,1246.58975
117,2010-10-01,215.647309167,2442.26455667,,4.854275,5114.3003775,1053.31790583,0.0,139.945276667,1253.69408333
