,DateTime,Hydro,Coal,Utility Solar,Petroleum Liquids,All,Wind,Natural Gas,Other Renewable
0,2001-01-01,73.25925,3565.77583333,,3.008,3731.4115,30.4299166667,49.3201666667,30.4299166667
1,2001-02-01,72.4823333333,3550.98825,,3.07258333333,3716.94825,31.767,49.0426666667,31.767
2,2001-03-01,71.7754166667,3529.70416667,,3.16533333333,3696.42133333,33.0499166667,49.182,33.0499166667
3,2001-04-01,70.5385833333,3516.67383333,,3.21158333333,3683.10475,34.14525,49.0465,34.14525
4,2001-05-01,68.1746666667,3484.14975,,3.61975,3651.71291667,36.3730833333,50.013,36.3730833333
5,2001-06-01,64.67825,3471.25666667,,3.38991666667,3638.043,37.8955833333,51.5085833333,37.8955833333
6,2001-07-01,62.3848333333,3426.247,,3.66491666667,3592.14941667,38.48775,52.1128333333,38.48775
7,2001-08-01,59.92425,3407.72483333,,3.66591666667,3572.57708333,39.0865833333,52.942,39.0865833333
8,2001-09-01,55.95325,3404.69716667,,3.67991666667,3567.61041667,40.03925,54.1224166667,40.03925
9,2001-10-01,51.6866666667,3472.48091667,,3.54375,3634.34533333,40.9204166667,57.1089166667,40.9204166667
10,2001-11-01,50.58525,3480.95433333,,3.50466666667,3641.64541667,39.3165,59.4474166667,39.3165
11,2001-12-01,49.877,3469.92025,,3.51158333333,3627.096,37.9006666667,59.24,37.9006666667
12,2002-01-01,48.6344166667,3493.59675,,3.34208333333,3648.65325,37.2775833333,59.4234166667,37.2775833333
13,2002-02-01,47.4025833333,3515.92875,,3.21616666667,3668.11275,37.52975,58.2765,37.52975
14,2002-03-01,46.4329166667,3524.94975,,3.21225,3674.48241667,37.0769166667,57.59475,37.0769166667
15,2002-04-01,45.9609166667,3516.36408333,,3.31783333333,3663.75916667,38.14475,55.3530833333,38.14475
16,2002-05-01,46.2448333333,3521.02191667,,3.1365,3664.40466667,36.7663333333,53.184,36.7663333333
17,2002-06-01,46.6644166667,3517.52058333,,3.43891666667,3656.76525,35.9356666667,49.7963333333,35.9356666667
18,2002-07-01,46.6896666667,3548.84108333,,3.33125,3683.04783333,35.0455833333,46.3299166667,35.0455833333
19,2002-08-01,48.2558333333,3556.35158333,,3.42866666667,3687.94875,33.4914166667,44.2616666667,33.4914166667
20,2002-09-01,49.0853333333,3553.76633333,,3.46958333333,3681.25133333,31.7840833333,41.5845833333,31.7840833333
21,2002-10-01,49.3286666667,3539.78525,,3.58725,3660.67691667,30.841,35.8,30.841
22,2002-11-01,49.5363333333,3530.04208333,,3.58691666667,3645.08316667,30.5161666667,30.3873333333,30.5161666667
23,2002-12-01,49.7104166667,3540.5745,,3.6415,3652.09641667,30.42025,27.2676666667,30.42025
24,2003-01-01,49.4629166667,3528.45441667,,3.74341666667,3635.55016667,30.5399166667,23.3495833333,30.5399166667
25,2003-02-01,51.9428266667,3515.50011917,,3.952835,3625.96494417,33.2285,20.5112625,33.2285
26,2003-03-01,54.5341533333,3524.4971725,,3.97967083333,3636.47709833,34.3565833333,17.4506333333,34.3565833333
27,2003-04-01,56.41573,3520.17588333,,3.9819825,3634.37519167,35.5976666667,15.7155591667,35.5976666667
28,2003-05-01,56.9738066667,3541.67427583,,4.04112083333,3658.13624417,37.816,14.3131866667,37.816
29,2003-06-01,55.6063833333,3517.37294083,,3.9804425,3636.11548167,41.0139166667,13.9945425,41.0139166667
30,2003-07-01,51.4422933333,3535.70626917,,3.7720325,3651.96962917,42.4615833333,13.6107091667,42.4615833333
31,2003-08-01,45.08737,3526.3058625,,3.92422166667,3636.33988583,44.0468333333,11.1693716667,44.0468333333
32,2003-09-01,41.8638633333,3550.86086667,,3.76856833333,3657.803265,45.6265833333,9.04767166667,45.6265833333
33,2003-10-01,42.74569,3586.66625417,,3.6313075,3696.31935917,47.461,8.34991083333,47.461
34,2003-11-01,44.9631833333,3600.14052417,,3.74999,3713.61429167,48.85175,7.6141625,48.85175
35,2003-12-01,47.21351,3610.99007583,,3.76947833333,3727.4257625,49.0436666667,7.28478166667,49.0436666667
36,2004-01-01,49.42892,3612.14502333,,3.82156916667,3733.9670375,51.37625,7.2414575,51.37625
37,2004-02-01,47.6025058333,3605.185745,,3.73191916667,3724.06731667,50.6234666667,7.39511083333,50.6234666667
38,2004-03-01,45.52197,3591.47020417,,3.73309083333,3708.01473583,50.7910325,7.39398333333,50.7910325
39,2004-04-01,43.8633025,3597.11883083,,3.65131666667,3712.63962417,51.7316366667,7.50557833333,51.7316366667
40,2004-05-01,43.1922475,3580.297135,,3.45759333333,3694.97047,52.3004766667,7.33453416667,52.3004766667
41,2004-06-01,47.3158958333,3584.73699583,,3.55203,3706.2439125,51.5039666667,8.74504583333,51.5039666667
42,2004-07-01,55.5447475,3596.29070833,,3.66099166667,3732.7235925,52.8028975,11.6789583333,52.8028975
43,2004-08-01,66.0414966667,3609.1831925,,3.50073666667,3762.7338525,53.1702058333,15.6038383333,53.1702058333
44,2004-09-01,72.083895,3619.1519575,,3.46446083333,3786.069415,53.5202825,19.7175641667,53.5202825
45,2004-10-01,72.7271066667,3595.72182167,,3.714095,3768.99624,53.6832483333,22.3708191667,53.6832483333
46,2004-11-01,70.796115,3616.08294583,,3.61620333333,3791.41762167,53.583065,24.1284908333,53.583065
47,2004-12-01,68.9859191667,3611.1008125,,3.52432333333,3792.36961667,57.9007816667,25.5914558333,57.9007816667
48,2005-01-01,67.3645833333,3612.139635,,3.525415,3797.27558167,59.772,27.0817816667,59.772
49,2005-02-01,67.5487116667,3627.77556,,3.43258166667,3821.40295417,62.7701975,29.9965433333,62.7701975
50,2005-03-01,67.6404475,3629.29141333,,3.4248025,3832.045505,66.1229566667,33.2077266667,66.1229566667
51,2005-04-01,67.8817491667,3645.2662525,,3.49319166667,3852.2247525,64.2066033333,36.2784616667,64.2066033333
52,2005-05-01,73.0160525,3636.71188417,,3.38205666667,3854.70607417,64.914145,39.2186791667,64.914145
53,2005-06-01,76.9987275,3619.89340417,,3.2913975,3842.65767167,65.3855583333,40.1155208333,65.3855583333
54,2005-07-01,74.6377566667,3580.13211333,,3.526875,3798.63540917,64.2759325,39.8874533333,64.2759325
55,2005-08-01,73.59234,3579.5501925,,3.68933583333,3795.17036417,63.98946,39.0067275,63.98946
56,2005-09-01,72.95205,3575.04019167,,3.74537916667,3787.56730667,63.9662525,38.0141508333,63.9662525
57,2005-10-01,71.4503575,3590.012855,,3.51580833333,3797.43469917,63.2892808333,37.6189316667,63.2892808333
