,DateTime,Coal,Utility Solar,Petroleum Liquids,All,Wind,Natural Gas,Petroleum Coke,Other Renewable
0,2001-01-01,280.708916667,,140.190666667,567.307083333,,131.2905,2.0285,
1,2001-02-01,253.144666667,,132.787333333,538.029166667,,136.584166667,2.2285,
2,2001-03-01,227.260916667,,131.093166667,517.76825,,144.67875,2.38291666667,
3,2001-04-01,211.127166667,,120.697916667,488.892,,142.09875,2.28041666667,
4,2001-05-01,206.715333333,,110.356416667,481.466666667,,150.831416667,1.84791666667,
5,2001-06-01,205.779666667,,98.2235833333,466.362583333,,148.540833333,1.84791666667,
6,2001-07-01,207.938916667,,92.6353333333,460.185666667,,145.130666667,1.9525,
7,2001-08-01,213.854916667,,94.2973333333,476.17075,,153.944166667,2.67183333333,
8,2001-09-01,217.699333333,,87.1249166667,463.849916667,,145.416166667,3.48516666667,
9,2001-10-01,233.469416667,,88.01675,474.392583333,,137.44075,4.26858333333,
10,2001-11-01,253.266583333,,80.37275,477.222583333,,127.396666667,4.3075,
11,2001-12-01,266.579333333,,74.0540833333,478.3325,,120.872333333,4.44166666667,
12,2002-01-01,288.630333333,,74.8355833333,500.2075,,120.240333333,4.30583333333,
13,2002-02-01,310.458916667,,96.4736666667,541.364166667,,118.697083333,4.00891666667,
14,2002-03-01,335.606,,117.387666667,581.393333333,,112.331,3.75191666667,
15,2002-04-01,352.546083333,,124.578916667,609.915916667,,117.46125,3.58033333333,
16,2002-05-01,356.100416667,,128.32125,616.773666667,,116.413583333,3.62883333333,
17,2002-06-01,349.91125,,130.025833333,608.889,,112.231166667,4.77933333333,
18,2002-07-01,345.463583333,,131.229666667,606.691666667,,112.148916667,5.50141666667,
19,2002-08-01,349.192833333,,136.966083333,617.513416667,,113.240166667,4.83108333333,
20,2002-09-01,355.394083333,,140.899333333,632.398416667,,117.586916667,4.277,
21,2002-10-01,362.561416667,,143.164833333,639.36325,,115.911,4.03541666667,
22,2002-11-01,347.253583333,,140.604916667,621.672416667,,115.99375,4.14658333333,
23,2002-12-01,344.8055,,140.70275,621.3695,,118.484416667,4.20825,
24,2003-01-01,335.541166667,,137.44475,616.023916667,,121.981666667,5.62725,
25,2003-02-01,343.479463333,,142.580976667,637.767184167,,130.623111667,5.62725,
26,2003-03-01,344.1840225,,124.544671667,626.68986,,135.970725,5.62725,
27,2003-04-01,340.778639167,,111.684365,606.0359775,,130.913845,5.59391666667,
28,2003-05-01,349.874120833,,112.166803333,614.8495575,,129.657275833,5.54241666667,
29,2003-06-01,362.2028725,,112.187890833,642.226664167,,145.287928333,4.39191666667,
30,2003-07-01,374.6767875,,111.195559167,655.165911667,,147.576573333,3.49441666667,
31,2003-08-01,379.026554167,,98.79103,636.381853333,,135.478315833,3.27725,
32,2003-09-01,369.3448125,,88.0687716667,605.714386667,,123.6602825,3.01358333333,
33,2003-10-01,371.331720833,,82.8895666667,604.547716667,,125.418084167,2.39725,
34,2003-11-01,370.674990833,,80.302105,596.872754167,,120.810096667,1.65241666667,
35,2003-12-01,372.689835,,80.0030016667,604.913563333,,125.827799167,1.419,
36,2004-01-01,395.31961,,91.9648125,654.629381667,,143.20162,0.0,
37,2004-02-01,389.156703333,,82.8256933333,642.3382625,,145.0454175,0.0,
38,2004-03-01,384.097321667,,81.1285216667,637.831099167,,147.113424167,0.0,
39,2004-04-01,386.612215,,80.5554041667,640.253630833,,147.850530833,0.0,
40,2004-05-01,369.0856575,,72.6212433333,611.153241667,,143.5248475,0.0,
41,2004-06-01,354.855984167,,71.7045133333,582.180203333,,129.250948333,0.0,
42,2004-07-01,358.275810833,,76.3095658333,597.758930833,,133.277899167,0.0,
43,2004-08-01,354.919435,,85.9937891667,613.009573333,,142.223230833,0.0,
44,2004-09-01,374.830546667,,92.188485,657.289439167,,156.141450833,0.0,
45,2004-10-01,380.524030833,,96.1839475,671.816521667,,156.103016667,0.0,
46,2004-11-01,399.6266075,,99.0579283333,699.518226667,,158.855463333,0.0,
47,2004-12-01,406.302493333,,99.2000016667,700.5800475,,153.82986,0.0,
48,2005-01-01,402.736985833,,101.686620833,678.047339167,,132.568054167,0.0,
49,2005-02-01,400.116893333,,81.0051291667,649.171443333,,122.362793333,0.0,
50,2005-03-01,408.813875,,76.7643708333,651.339658333,,115.450186667,0.0,
51,2005-04-01,407.911438333,,73.895895,651.9522575,,114.087213333,0.0,
52,2005-05-01,418.182379167,,71.5591258333,664.94678,,113.5833225,0.0,
53,2005-06-01,432.541956667,,69.0657666667,682.372724167,,114.48717,0.0,
54,2005-07-01,431.278940833,,58.9868883333,665.9334875,,112.338465833,0.0,
55,2005-08-01,436.891695833,,44.6730366667,660.533615,,112.27298,0.0,
56,2005-09-01,432.411895,,36.9354983333,640.212521667,,103.466191667,0.0,
57,2005-10-01,407.117035833,,31.0814775,601.149356667,,96.7394108333,0.0,
58,2005-11-01,409.77008,,27.5995283333,599.731965,,94.4224091667,0.0,
59,2005-12-01,417.857913333,,26.0685933333,608.9461875,,93.0635058333,0.0,
60,2006-01-01,414.067626667,,10.9929191667,598.5149475,,97.5639866667,0.0,0.03475
61,2006-02-01,412.9011025,,11.3412691667,598.951980833,,99.4377858333,0.0,0.3873275
62,2006-03-01,417.131131667,,15.3565591667,607.564396667,,101.353985,0.0,0.700835833333
63,2006-04-01,412.708918333,,18.2856583333,607.436690833,,102.8068125,0.0,1.02830083333
64,2006-05-01,408.395970833,,18.0387541667,607.68352,,109.247605,0.0,1.3180675
65,2006-06-01,404.390694167,,18.4843108333,607.0121225,,113.982110833,0.0,1.61935416667
66,2006-07-01,414.718883333,,19.6976508333,622.727680833,,116.3798325,0.0,1.98050083333
67,2006-08-01,419.49084,,18.2690433333,630.964753333,,121.134773333,0.0,2.35346
68,2006-09-01,423.526706667,,18.289205,645.358281667,,133.367584167,0.0,2.71461916667
69,2006-10-01,445.265249167,,18.598535,677.2066325,,144.399285833,0.0,3.04441083333
70,2006-11-01,450.7077075,,19.7883925,689.595861667,,152.9547225,0.0,3.36715166667
71,2006-12-01,460.310041667,,19.7394708333,700.768106667,,155.027665833,0.0,3.67848583333
72,2007-01-01,468.485208333,,20.0946658333,711.1802725,,158.498635,0.0,4.00966666667
73,2007-02-01,486.20944,,22.2320241667,731.329861667,,156.650075,0.0,5.04739416667
74,2007-03-01,486.86199,,18.6550433333,729.201963333,,156.113895,0.0,5.25911416667
75,2007-04-01,494.912075833,,16.1453491667,729.200615,,150.512590833,0.0,6.265915
76,2007-05-01,496.392451667,,17.9359775,723.933873333,,145.7864,0.0,7.2443
77,2007-06-01,497.9295775,,17.5188441667,714.95269,,138.457795,0.0,8.10292083333
78,2007-07-01,493.39321,,17.583165,716.03407,,141.96739,0.0,9.01828
79,2007-08-01,488.773589167,,17.8856675,711.782035,,140.760925,0.0,9.91864166667
80,2007-09-01,468.521863333,,15.0481633333,676.949175833,,129.7722475,0.0,10.2057325
81,2007-10-01,461.098106667,,18.3991958333,668.528576667,,126.1782775,0.0,11.0908058333
82,2007-11-01,445.088589167,,16.9569733333,638.53127,,116.374199167,0.0,11.8685208333
83,2007-12-01,441.909105833,,16.4850983333,633.619536667,,118.441304167,0.0,12.7619841667
84,2008-01-01,438.909568333,,18.2647625,626.986553333,,115.584060833,0.0,13.6145533333
85,2008-02-01,432.787731667,,20.3532216667,621.706273333,,118.602648333,0.0,13.3823233333
86,2008-03-01,411.476655,,23.5465091667,596.488369167,,116.035870833,0.0,13.8154166667
87,2008-04-01,387.163719167,,24.5122216667,568.092734167,,117.349683333,0.0,13.3384766667
