,DateTime,Hydro,Coal,Utility Solar,Petroleum Liquids,All,Wind,Natural Gas,Other Renewable,Geothermal
0,2001-01-01,19.77675,2366.84891667,,5.51766666667,2800.97025,,407.272583333,1.55433333333,
1,2001-02-01,20.1535,2327.30691667,,4.7285,2754.31775,,400.608833333,1.52,
2,2001-03-01,19.92775,2293.56725,,3.93233333333,2708.78591667,,389.85775,1.50083333333,
3,2001-04-01,19.8188333333,2301.50908333,,3.72333333333,2702.97508333,,376.46,1.46383333333,
4,2001-05-01,20.198,2336.54533333,,3.4895,2720.63391667,,358.963083333,1.438,
5,2001-06-01,20.2914166667,2317.70058333,,2.88816666667,2680.16891667,,337.834916667,1.45383333333,
6,2001-07-01,20.5373333333,2319.284,,2.68466666667,2670.7865,,326.869083333,1.41141666667,
7,2001-08-01,20.7216666667,2297.759,,2.70641666667,2640.93791667,,318.394833333,1.356,
8,2001-09-01,20.51875,2249.38608333,,2.53958333333,2581.33991667,,307.599666667,1.29583333333,
9,2001-10-01,21.13375,2270.53958333,,2.47891666667,2594.05716667,,298.66375,1.24116666667,
10,2001-11-01,21.5663333333,2271.91733333,,2.45775,2588.05008333,,290.897083333,1.21158333333,
11,2001-12-01,21.9596666667,2277.13375,,2.51,2588.65575,,285.738583333,1.31375,
12,2002-01-01,22.04925,2241.90658333,,2.75741666667,2555.14216667,,286.811583333,1.61733333333,
13,2002-02-01,21.63725,2276.5125,,2.76191666667,2591.96166667,,289.5285,1.52158333333,
14,2002-03-01,20.8693333333,2297.00891667,,3.16083333333,2611.64566667,,289.188583333,1.41808333333,
15,2002-04-01,20.1509166667,2303.815,,3.25125,2615.35841667,,286.8215,1.31975,
16,2002-05-01,19.13975,2317.15816667,,3.64233333333,2623.4495,,282.293833333,1.2155,
17,2002-06-01,18.1961666667,2333.81516667,,3.80875,2645.67033333,,288.771666667,1.07875,
18,2002-07-01,17.45125,2332.56658333,,3.96158333333,2638.87325,,283.887166667,1.00691666667,
19,2002-08-01,16.61,2346.85125,,3.83283333333,2651.139,,282.91975,0.925416666667,
20,2002-09-01,16.40125,2423.44825,,3.87225,2735.04908333,,290.478583333,0.848916666667,
21,2002-10-01,15.466,2394.41116667,,3.71925,2710.56033333,,292.621333333,4.34275,
22,2002-11-01,14.8074166667,2378.84075,,3.90616666667,2695.57833333,,290.610416667,7.41375,
23,2002-12-01,14.4155833333,2369.1295,,4.13825,2689.88816667,,290.80975,11.3953333333,
24,2003-01-01,14.2249166667,2401.07033333,,4.2225,2727.971,,293.2255,15.2279166667,
25,2003-02-01,14.1890766667,2384.93489583,,4.24741083333,2718.31197333,,295.62684,19.3138333333,
26,2003-03-01,14.2059866667,2377.03879167,,3.95666583333,2714.40449417,,296.06505,23.1380833333,
27,2003-04-01,13.9828133333,2358.63185417,,3.96694666667,2694.55650667,,290.751725833,27.2233333333,
28,2003-05-01,13.69489,2329.42058333,,3.69729083333,2664.75197333,,286.0492925,31.89,
29,2003-06-01,13.2921333333,2327.12139583,,3.380655,2664.420385,,284.232785,36.3934166667,
30,2003-07-01,12.6153766667,2336.91729167,,3.2100125,2677.31265917,,284.9205625,39.6493333333,
31,2003-08-01,12.0707033333,2335.1424375,,3.328985,2670.9263525,,278.3812275,42.0029166667,
32,2003-09-01,11.4651133333,2337.70491667,,3.38293166667,2660.57225333,44.5659166667,263.453375833,44.5659166667,
33,2003-10-01,11.4588566667,2374.53072917,,3.17753333333,2690.5172975,44.3106666667,257.039513333,44.3106666667,
34,2003-11-01,11.5390166667,2398.785375,,3.0763375,2712.39108583,43.08725,255.903108333,43.08725,
35,2003-12-01,11.64076,2434.58760417,,2.85476333333,2745.1576925,42.70125,253.373234167,42.70125,
36,2004-01-01,11.57892,2438.65825,,2.614655,2745.0300475,42.78875,249.389475833,42.78875,
37,2004-02-01,11.755485,2448.185415,,2.7255325,2757.6632525,43.8916991667,251.070379167,43.9264441667,
38,2004-03-01,11.8364675,2486.77325167,,2.65205083333,2796.30047083,43.8442475,251.130079167,43.908625,
39,2004-04-01,11.9614033333,2511.02717,,2.60583333333,2827.00187333,46.5375608333,254.772426667,46.6350425,
40,2004-05-01,12.0855525,2521.08852417,,2.9095675,2849.61913,48.5463133333,264.8611275,48.6743608333,
41,2004-06-01,12.6566666667,2502.0749675,,3.190665,2838.21686917,49.8713716667,270.2616625,50.0329083333,
42,2004-07-01,13.1239133333,2497.92884583,,3.1937575,2848.81021,52.6192475,281.750435833,52.8132583333,
43,2004-08-01,13.4902941667,2487.7987475,,3.07836,2857.56116083,55.7741516667,297.1907075,56.0030525,
44,2004-09-01,13.63017,2486.79662,,3.16155083333,2873.4258275,57.096885,312.478091667,57.359395,
45,2004-10-01,13.5408791667,2494.75915417,,3.2823275,2898.456045,58.7955091667,327.783668333,59.0900158333,
46,2004-11-01,13.520935,2515.27741667,,3.18416166667,2931.2946925,61.2575958333,337.732464167,61.579715,
47,2004-12-01,13.5743391667,2502.00022333,,2.976125,2927.2244625,63.2515025,345.069408333,63.6043666667,
48,2005-01-01,13.7494166667,2495.604,,3.07574916667,2927.9701675,66.2191666667,348.934565833,66.606435,
49,2005-02-01,14.1120891667,2513.5799975,,3.51676416667,2950.65572333,72.0824675,346.8233975,72.6234741667,
50,2005-03-01,14.385845,2477.7608,,3.62058583333,2922.02202417,77.3053358333,348.269275833,77.9855175,
51,2005-04-01,14.7143425,2487.82963667,,3.52498166667,2939.23220667,82.5990225,349.765595833,83.3976516667,
52,2005-05-01,15.3375825,2489.13134333,,3.47874,2963.89564833,87.5858533333,367.456281667,88.4917016667,
53,2005-06-01,15.6493575,2502.98391167,,3.42098583333,2995.85934,89.547795,383.2245775,90.5805083333,
54,2005-07-01,16.125715,2483.195685,,3.46245166667,2992.14547917,92.0422525,396.210076667,93.1515525,
55,2005-08-01,16.35392,2503.98179417,,3.3438775,3031.519805,93.1786816667,413.442468333,94.3977475,
56,2005-09-01,16.5278508333,2511.7767375,,3.21269666667,3058.6359875,94.3916983333,431.399365,95.7193408333,
57,2005-10-01,16.5896566667,2498.566965,,3.35507166667,3052.48796,96.3609908333,436.187410833,97.7888575,
58,2005-11-01,16.5312558333,2476.65027083,,3.4279125,3053.01522167,100.854570833,453.999444167,102.406340833,
59,2005-12-01,16.5416475,2474.07237333,,3.44260083333,3071.94627833,104.560664167,471.641545833,106.2481125,
60,2006-01-01,16.5175841667,2488.25066667,,3.4571675,3105.46871333,104.619666667,490.7999075,106.443389167,
61,2006-02-01,16.86692,2485.96415833,,2.7023175,3119.236595,101.456666667,510.5267725,103.176428333,
62,2006-03-01,16.9434608333,2486.05,,2.774415,3133.78049,101.08775,525.269878333,102.742736667,
63,2006-04-01,17.31267,2462.31325667,,3.01713833333,3123.72653833,99.05925,540.406364167,100.677109167,
64,2006-05-01,17.8059041667,2452.17777,,2.80449083333,3104.8816,98.7518333333,531.746938333,100.346498333,
65,2006-06-01,18.62178,2421.49422667,,2.77744333333,3071.16586917,100.338666667,526.3811175,101.891304167,
66,2006-07-01,19.1235966667,2407.18701,,2.77781,3055.14305417,99.71925,524.7780875,101.276551667,
