,DateTime,Hydro,Coal,Utility Solar,Petroleum Liquids,All,Wind,Natural Gas,Other Renewable
0,2001-01-01,124.558166667,2995.919,,14.6856666667,3906.33358333,4.05333333333,782.649,9.40358333333
1,2001-02-01,124.106416667,2995.3025,,13.0675,3892.64616667,5.04683333333,772.466416667,10.17775
2,2001-03-01,123.948166667,2982.66066667,,11.3531666667,3856.34783333,6.06033333333,750.472666667,10.9806666667
3,2001-04-01,123.792333333,2958.86158333,,9.42225,3825.47025,6.83575,743.301916667,11.47175
4,2001-05-01,125.190833333,2954.58866667,,6.9905,3809.90158333,7.68166666667,733.021333333,12.0991666667
5,2001-06-01,125.282833333,2944.24583333,,4.79758333333,3800.6055,8.31841666667,736.4195,12.54975
6,2001-07-01,123.217166667,2943.29375,,4.18291666667,3807.35458333,8.97116666667,745.2545,12.9889166667
7,2001-08-01,121.966,2942.01058333,,3.64516666667,3812.24325,9.48,752.780916667,13.2106666667
8,2001-09-01,117.353416667,2932.82875,,3.20116666667,3800.15258333,10.0770833333,753.776166667,13.4604166667
9,2001-10-01,111.197583333,2928.99225,,3.117,3795.50858333,10.7193333333,757.299583333,13.8573333333
10,2001-11-01,104.216583333,2954.27166667,,2.77483333333,3808.19825,11.131,751.469833333,14.0289166667
11,2001-12-01,102.969416667,2947.556,,2.705,3804.62875,11.717,754.830583333,14.4313333333
12,2002-01-01,100.7505,2949.02091667,,1.93175,3800.03233333,11.58375,752.37425,14.0699166667
13,2002-02-01,98.70375,2941.65116667,,2.02041666667,3801.84666667,11.6471666667,762.23725,14.1341666667
14,2002-03-01,96.3865833333,2944.48541667,,2.28066666667,3820.05775,11.3543333333,778.970166667,13.758
15,2002-04-01,92.438,2970.26525,,2.18625,3834.94166667,11.8395833333,771.989583333,14.2501666667
16,2002-05-01,88.9238333333,2986.44883333,,2.24575,3827.97158333,11.8900833333,752.239083333,14.3353333333
17,2002-06-01,84.6030833333,2975.02325,,2.61433333333,3814.68725,11.94625,754.489166667,14.3921666667
18,2002-07-01,83.7541666667,2969.26033333,,2.71075,3789.0545,11.9081666667,736.136333333,14.37
19,2002-08-01,86.1943333333,2979.62608333,,2.7215,3809.80208333,11.953,743.398583333,14.451
20,2002-09-01,90.7099166667,2989.49391667,,2.74708333333,3851.63733333,11.8249166667,771.354916667,14.3881666667
21,2002-10-01,96.8526666667,2994.14891667,,2.82041666667,3861.19508333,11.8105,770.732416667,14.4199166667
22,2002-11-01,100.287416667,2994.35933333,,2.82325,3849.88525,11.9988333333,755.938833333,14.59925
23,2002-12-01,101.50875,3001.647,,2.71141666667,3865.99683333,12.1240833333,762.98025,14.7125
24,2003-01-01,105.183166667,3009.63533333,,2.83275,3884.73225,12.2590833333,768.836166667,14.8815833333
25,2003-02-01,105.4361875,3017.86853417,,2.77257583333,3896.06003333,11.99212,772.420554167,14.6454316667
26,2003-03-01,106.6102975,3041.30487417,,2.40748416667,3915.85788833,12.2066533333,767.802706667,14.9552766667
27,2003-04-01,108.8415325,3053.60364417,,2.273705,3921.03239833,12.2158641667,759.053551667,14.9814666667
28,2003-05-01,110.448878333,3040.3877125,,2.11904,3926.21089583,12.119845,774.888091667,14.8734258333
29,2003-06-01,110.8965625,3035.3772225,,1.84786166667,3934.65651833,12.2554491667,788.792116667,14.9783416667
30,2003-07-01,106.473186667,3025.9926025,,1.57950333333,3946.20165,12.2471325,815.130440833,14.98842
31,2003-08-01,106.4320975,3009.854175,,1.36382083333,3945.9669575,12.18815,831.411700833,14.9462491667
32,2003-09-01,103.698115,3008.97843667,,1.3342675,3927.655155,12.124745,816.331015,14.91474
33,2003-10-01,103.218245,3016.89399917,,1.21700333333,3941.8763375,12.2109558333,821.59533,15.0342633333
34,2003-11-01,104.177050833,3010.66756667,,1.306155,3961.9714275,13.4492025,844.706336667,16.3132383333
35,2003-12-01,100.653731667,2991.40786417,,1.20960416667,3970.89772917,14.7141633333,875.548021667,17.6266775
