,DateTime,Hydro,Coal,Utility Solar,Petroleum Liquids,All,Wind,Natural Gas,Petroleum Coke,Other Renewable,Geothermal,Nuclear
0,2001-01-01,2128.48116667,186.070916667,45.18925,77.9369166667,16549.6726667,291.644833333,9327.68916667,176.6375,1802.46802167,1015.10783333,2768.29333333
1,2001-02-01,2205.60025,186.368,45.5878333333,56.6499166667,16380.6905,291.48025,9035.60241667,172.14125,1810.35136417,1020.29425,2840.53425
2,2001-03-01,2258.17608333,186.354916667,46.5005833333,43.4869166667,16236.9471667,291.96575,8787.058,165.84275,1820.54226167,1025.21625,2893.78141667
3,2001-04-01,2315.485,195.599333333,47.5718333333,34.0924166667,16231.94925,289.219333333,8639.55175,165.165916667,1832.67051667,1030.64058333,2956.9795
4,2001-05-01,2383.60525,191.664333333,48.1625,27.9585833333,16078.1833333,290.62125,8341.70125,162.045,1840.82941,1033.88875,3023.02983333
5,2001-06-01,2418.39975,188.81275,46.21075,19.93425,15833.1545,299.009416667,8005.276,159.419666667,1861.27322167,1045.58325,3065.86775
6,2001-07-01,2445.533,187.912166667,46.57775,15.6855,15689.1464167,308.900666667,7882.34475,159.035,1882.19969333,1053.11641667,2992.25566667
7,2001-08-01,2468.8445,186.305583333,46.0431666667,12.422,15675.69475,309.144833333,7843.79141667,158.235583333,1893.978645,1059.39191667,2981.71125
8,2001-09-01,2490.4515,184.780916667,45.1808333333,11.3720833333,15547.2320833,314.80775,7702.76166667,159.64325,1906.4009425,1066.4585,2974.693
9,2001-10-01,2521.45391667,186.396,44.1674166667,11.0549166667,15558.4626667,314.951666667,7669.41175,161.335916667,1915.66469833,1071.8765,2973.58783333
10,2001-11-01,2525.22525,193.063166667,45.0145,10.5609166667,15425.76875,317.5435,7513.396,157.410083333,1930.9431425,1079.96891667,2972.60016667
11,2001-12-01,2559.72458333,194.313166667,46.1729166667,11.13075,15361.0339167,318.769166667,7477.93116667,155.090666667,1943.2964175,1084.53841667,2897.21666667
12,2002-01-01,2595.05233333,193.984,46.1976666667,10.953,15350.8363333,316.887083333,7468.67033333,152.4695,1950.58177,1089.468,2862.695
13,2002-02-01,2602.1095,194.594583333,46.3568341667,10.8399166667,15319.52175,315.038416667,7487.65283333,153.854166667,1948.61312667,1088.66325,2809.6755
14,2002-03-01,2664.81641667,195.503333333,45.88069,9.87625,15357.9370833,318.350666667,7549.31608333,156.777666667,1955.01495583,1089.47858333,2716.79408333
15,2002-04-01,2675.37725,192.8655,46.3501975,11.61525,15247.5915,323.226916667,7487.02425,157.08625,1959.11019417,1087.0415,2656.91125
16,2002-05-01,2666.09191667,189.981083333,47.5546141667,12.2843333333,15220.73375,324.440583333,7486.4505,156.730583333,1967.3290175,1089.77925,2631.41941667
17,2002-06-01,2753.208,190.1445,48.4149475,13.5695833333,15367.8531667,322.36425,7468.53275,158.98925,1958.45231917,1085.58458333,2725.44825
18,2002-07-01,2823.73366667,189.53925,48.0098641667,18.0169166667,15368.7809167,321.7075,7335.45916667,160.2555,1958.89408333,1090.04333333,2796.61108333
19,2002-08-01,2886.87975,190.508916667,46.0828641667,23.0928333333,15483.2828333,320.7485,7371.64583333,162.673583333,1955.73062083,1088.75758333,2807.47133333
20,2002-09-01,2921.20275,190.70175,45.0052808333,29.2741666667,15563.4506667,314.053166667,7402.9485,163.482,1949.98590333,1086.65933333,2817.04908333
21,2002-10-01,2957.0495,191.6985,45.2773641667,32.2709166667,15648.8905,317.8155,7438.82225,164.339166667,1953.72072667,1086.49516667,2820.99325
22,2002-11-01,2985.74475,190.757416667,45.6506975,34.3630833333,15864.5359167,317.83475,7594.37016667,165.868333333,1954.27925333,1084.66,2850.56116667
23,2002-12-01,3000.02083333,194.321833333,44.4719475,33.6168333333,16006.1879167,320.321666667,7632.21358333,165.791333333,1952.09339917,1079.96041667,2935.77591667
24,2003-01-01,3030.89191667,193.858666667,44.4671975,33.007,16065.7118333,324.619166667,7619.34841667,166.347,1962.09306583,1081.81341667,2966.14908333
25,2003-02-01,3042.68882583,193.7738325,44.3934466667,33.4727533333,16154.8284717,326.355644167,7640.20938,167.352821667,1963.72685083,1082.33661583,3005.15091667
26,2003-03-01,3029.01727333,195.113478333,43.7823408333,33.88964,16267.5656325,327.102954167,7693.0275775,167.984614167,1969.1103925,1086.70175917,3061.60258333
27,2003-04-01,3110.95435917,197.1990075,43.9928333333,33.8952141667,16384.4790425,323.9571975,7756.75516833,169.388003333,1964.8961125,1087.0603175,3027.27491667
28,2003-05-01,3164.1815275,193.507991667,43.67325,34.6176283333,16523.9880883,321.895761667,7916.50605667,169.970589167,1961.13114167,1085.45800083,2969.86533333
29,2003-06-01,3053.69127667,193.1580875,44.76625,33.7792641667,16525.60149,336.931505833,8067.48716833,169.332853333,1984.31140833,1087.1331125,2898.9385
30,2003-07-01,2988.97407833,192.6680975,44.5368333333,29.5001433333,16526.6273633,348.050598333,8138.44712833,171.5531025,1995.31986083,1085.77116083,2872.12933333
31,2003-08-01,2953.82978667,192.804031667,46.1419166667,25.6944758333,16474.613125,361.077706667,8117.46384667,170.710085,2009.472445,1087.93737667,2865.1455
32,2003-09-01,2925.63124167,192.643681667,47.05,19.4913883333,16477.5575958,369.041493333,8148.782855,172.291551667,2016.5304,1089.30676583,2862.948
33,2003-10-01,2887.13816083,190.27902,47.4043333333,16.4022875,16446.05025,370.592590833,8171.98719083,173.012383333,2014.7794525,1086.6589,2850.62358333
34,2003-11-01,2872.42494167,187.608486667,47.2139166667,14.253745,16305.3284967,368.464055833,8138.15740667,170.331879167,2014.08582,1089.84091167,2764.34366667
35,2003-12-01,2862.18998833,183.367931667,47.3,13.8688091667,16258.015255,365.748805,8250.4482425,172.661915,2012.09092667,1094.4412375,2622.64516667
