,DateTime,Hydro,Coal,Utility Solar,Petroleum Liquids,All,Wind,Natural Gas,Other Renewable,Geothermal
0,2001-01-01,2387.046,370.421083333,,8.51858333333,3754.3255,7.38225,915.247083333,69.96063,
1,2001-02-01,2431.43358333,371.139416667,,3.89316666667,3805.78391667,10.2116666667,922.84275,73.3520641667,
2,2001-03-01,2470.69533333,371.0395,,0.849583333333,3850.409,11.728,928.576,76.1251641667,
3,2001-04-01,2476.39375,366.698,,0.878833333333,3849.55991667,14.7906666667,925.131916667,77.3023733333,
4,2001-05-01,2539.68708333,350.12625,,0.955833333333,3858.81525,17.04,886.914666667,78.0084333333,
5,2001-06-01,2575.7675,357.282333333,,1.00375,3865.04741667,19.0534166667,848.787416667,79.0804875,
6,2001-07-01,2680.82558333,335.671083333,,0.922083333333,3915.25675,21.1406666667,815.0195,79.7006133333,
7,2001-08-01,2767.29366667,312.046083333,,1.07241666667,3932.98375,23.3134166667,767.970083333,81.4766566667,
8,2001-09-01,2800.22108333,310.774166667,,1.0485,3926.81991667,25.1043333333,728.4985,83.1456658333,
9,2001-10-01,2835.84908333,310.807166667,,1.04725,3941.28333333,26.82475,705.484833333,84.9453975,
10,2001-11-01,2872.07066667,310.6515,,1.03841666667,3956.59916667,28.1538333333,683.643166667,86.0398591667,
11,2001-12-01,2892.41108333,314.981333333,,0.547166666667,3969.31116667,30.134,670.740916667,87.4653875,
12,2002-01-01,2867.76383333,314.973666667,,0.558833333333,3924.94733333,31.3465833333,651.074416667,87.39916,
13,2002-02-01,2826.876,312.3135,,0.561,3898.87558333,30.5451666667,668.7195,87.3109241667,
14,2002-03-01,2809.59025,312.074416667,,1.95183333333,3879.45975,31.7955833333,664.03025,88.7108616667,
15,2002-04-01,2852.282,315.60775,,2.84658333333,3905.33491667,33.6893333333,640.220416667,91.26808,
16,2002-05-01,2859.8545,331.893666667,,2.73241666667,3919.77041667,33.1926666667,631.778333333,90.4068733333,
