,DateTime,Hydro,Coal,Utility Solar,Petroleum Liquids,All,Wind,Natural Gas,Other Renewable
0,2001-01-01,220.426916667,44.0343333333,,175.126833333,1630.40175,,837.74575,318.810395
1,2001-02-01,210.96125,44.2239166667,,142.668583333,1650.71691667,,898.728833333,320.00943
2,2001-03-01,203.273166667,45.1911666667,,124.542166667,1672.43591667,,943.909,321.3467125
3,2001-04-01,202.725333333,45.3190833333,,118.432,1704.49916667,,981.134583333,322.868203333
4,2001-05-01,204.8645,45.8393333333,,116.67925,1741.85825,,1015.14108333,324.723584167
5,2001-06-01,209.845916667,45.7483333333,,112.486833333,1772.048,,1044.59316667,324.6057425
6,2001-07-01,213.083583333,46.90275,,109.7045,1783.84133333,,1053.3625,325.819905833
7,2001-08-01,218.176916667,47.1621666667,,113.896166667,1809.84975,,1067.06458333,328.7596175
8,2001-09-01,220.411916667,47.5043333333,,101.67275,1809.06633333,,1077.63875,327.369814167
9,2001-10-01,220.98925,47.3995,,99.0260833333,1818.35683333,,1088.86958333,328.2224875
10,2001-11-01,223.232416667,49.1171666667,,95.12475,1840.83475,,1105.29566667,334.734941667
11,2001-12-01,227.832833333,49.45275,,93.6225833333,1856.22591667,,1115.94533333,336.347625833
12,2002-01-01,230.653916667,50.32825,,102.457416667,1877.91966667,,1125.33025,336.960888333
13,2002-02-01,234.337916667,47.8654166667,,127.311083333,1892.407,,1117.345,332.855019167
14,2002-03-01,236.261416667,45.3426666667,,148.575166667,1867.85716667,,1074.27741667,330.372771667
15,2002-04-01,233.74075,43.59725,,157.609083333,1833.06791667,,1038.4145,326.195798333
16,2002-05-01,231.1815,42.2114166667,,163.47725,1811.80491667,,1018.78925,322.674686667
17,2002-06-01,223.879916667,40.60275,,163.429416667,1758.67958333,,977.175666667,319.341433333
18,2002-07-01,219.438,38.7834166667,,165.164583333,1730.59633333,,957.314,314.958668333
19,2002-08-01,214.4015,37.33175,,162.007083333,1695.9045,,934.88675,311.562955833
20,2002-09-01,219.973166667,35.88575,,155.888333333,1663.28075,,902.460083333,312.434144167
21,2002-10-01,224.013583333,35.4143333333,,153.179333333,1631.95475,,870.892166667,310.677663333
22,2002-11-01,237.6345,33.52975,,157.081833333,1624.23425,,851.97425,306.011935
23,2002-12-01,247.270166667,32.2163333333,,154.338916667,1597.21858333,,820.415916667,304.3873875
24,2003-01-01,264.385083333,31.3776666667,,159.962416667,1580.96958333,,786.558666667,298.834170833
25,2003-02-01,282.040198333,32.0120141667,,168.487774167,1564.9531525,,745.704484167,296.349158333
26,2003-03-01,300.0118425,32.4582433333,,156.1975575,1593.78720417,,764.991374167,298.683053333
27,2003-04-01,310.8358775,32.8828725,,146.332574167,1609.03640167,,776.149851667,301.0605275
28,2003-05-01,313.627363333,33.2739541667,,137.555339167,1611.60332417,,783.067871667,301.102014167
29,2003-06-01,313.9385625,33.512885,,137.825613333,1624.29141333,,794.222909167,301.073091667
30,2003-07-01,309.5163,33.0488141667,,133.824978333,1623.2547575,,802.535569167,300.092446667
31,2003-08-01,310.5782875,32.5540708333,,128.128783333,1612.897845,,799.126385833,297.706888333
32,2003-09-01,309.784993333,31.8885566667,,129.063321667,1620.17053083,,809.482965,294.6917175
33,2003-10-01,315.5814225,30.8307383333,,126.7394125,1618.24384,,806.850258333,292.8802075
34,2003-11-01,306.770016667,30.9737775,,119.021635833,1596.45236583,,799.944389167,293.307015833
35,2003-12-01,297.2454375,30.8891191667,,118.687425833,1597.06378167,,809.4145075,293.5127675
36,2004-01-01,285.854100833,29.9508358333,,109.326055,1591.57378833,,819.348881667,299.836393333
37,2004-02-01,283.274934167,29.06047,,94.2634491667,1581.5007825,,824.45758,304.8793425
38,2004-03-01,278.6586475,28.6445175,,87.0982783333,1560.44374083,,817.462471667,305.1065325
39,2004-04-01,279.654664167,27.7619558333,,88.86551,1559.53981167,,813.7691875,307.5875025
40,2004-05-01,287.891744167,27.1241708333,,91.9875391667,1562.214015,,806.292894167,309.242513333
41,2004-06-01,297.185583333,26.8226925,,90.0499216667,1555.1793675,,791.47652,311.948123333
42,2004-07-01,307.726524167,27.048625,,91.083675,1568.94016,,790.880435,316.232343333
43,2004-08-01,312.961305833,27.4117008333,,95.589365,1588.20834,,795.953250833,322.014765833
44,2004-09-01,314.056663333,27.3696541667,,99.2455825,1594.23197333,,793.471088333,327.18661
45,2004-10-01,306.5220925,27.6918566667,,107.024771667,1595.18263917,,790.412673333,331.709910833
46,2004-11-01,315.595616667,26.9055275,,113.345139167,1598.14346667,,777.689466667,333.9473425
47,2004-12-01,330.5084075,26.6788191667,,117.4941825,1591.70474833,,749.920538333,337.762070833
48,2005-01-01,340.910498333,26.6892916667,,135.115884167,1570.331465,,699.871088333,339.0157675
