,DateTime,Hydro,Coal,Utility Solar,Petroleum Liquids,All,Wind,Natural Gas,Other Renewable,Nuclear
0,2001-01-01,635.297083333,3338.45783333,0.0407499999999,26.1838333333,7492.606,,1072.68333333,3.28641666667,2393.673
1,2001-02-01,641.889583333,3327.15233333,0.0438333333332,14.7314166667,7498.00575,,1085.17833333,3.75704083333,2402.92833333
2,2001-03-01,649.765833333,3307.10908333,0.0474999999999,10.6163333333,7522.60041667,,1094.48083333,4.09625666667,2434.65108333
3,2001-04-01,653.951416667,3328.09333333,0.0511666666665,7.015,7524.34491667,,1109.17108333,4.54196,2400.46908333
4,2001-05-01,653.690666667,3290.7365,0.0520833333332,6.34925,7507.71975,,1103.47833333,4.80574083333,2428.12591667
5,2001-06-01,656.19625,3260.7295,0.0527499999999,5.09541666667,7499.80375,,1080.26441667,4.72795833333,2474.18608333
6,2001-07-01,658.682166667,3233.37633333,0.0524166666665,4.85175,7488.87733333,,1096.7995,4.69267416667,2473.68141667
7,2001-08-01,659.26775,3217.57966667,0.0489166666665,4.68625,7527.48666667,,1144.65991667,4.52536333333,2481.30466667
8,2001-09-01,661.027416667,3182.34216667,0.0465833333332,4.7405,7575.77758333,,1216.14266667,4.37288083333,2492.74625
9,2001-10-01,657.695083333,3171.32783333,0.0434999999999,4.71391666667,7636.48125,,1291.67741667,4.29282333333,2492.67291667
10,2001-11-01,649.47925,3129.665,0.0416666666665,5.03075,7703.00575,,1351.13691667,4.304805,2549.31483333
11,2001-12-01,636.570916667,3152.05233333,0.0404166666665,4.90266666667,7784.93233333,,1402.04091667,4.38905083333,2569.64183333
12,2002-01-01,618.931583333,3185.5525,0.0382499999999,4.78708333333,7844.30525,,1441.08466667,4.48366666667,2571.82591667
13,2002-02-01,606.36725,3189.42008333,0.0371666666665,4.417,7850.49383333,,1457.82475,4.13787583333,2569.75166667
14,2002-03-01,595.484083333,3195.27358333,0.0354166666665,4.22808333333,7843.38825,,1457.19175,3.91649333333,2567.97808333
15,2002-04-01,585.3505,3151.205,0.0350833333332,4.21116666667,7831.41966667,,1481.0805,3.71687333333,2586.00816667
16,2002-05-01,587.275583333,3117.70891667,0.0349166666665,3.94008333333,7775.55266667,,1487.01133333,3.81667583333,2555.2925
17,2002-06-01,581.668916667,3097.81191667,0.0347499999999,4.15791666667,7733.3155,,1475.09916667,3.82929166667,2548.86291667
18,2002-07-01,579.265583333,3110.35375,0.0347499999999,4.10233333333,7718.06841667,,1466.14166667,3.88040916667,2530.66883333
19,2002-08-01,573.733,3135.48466667,0.0342499999999,4.08033333333,7804.82883333,,1529.42766667,3.93038666667,2514.95475
20,2002-09-01,571.061,3158.4855,0.0340833333332,3.9915,7893.81766667,,1596.13633333,3.94928583333,2489.29433333
21,2002-10-01,572.0955,3177.27175,0.0327499999999,3.99408333333,7975.05166667,,1640.04358333,3.95934333333,2485.88075
22,2002-11-01,577.558833333,3195.01091667,0.0327499999999,3.86158333333,8040.95133333,,1663.49116667,4.005195,2483.33175
23,2002-12-01,585.399,3179.22008333,0.0328333333332,3.95616666667,7967.56791667,,1639.44458333,3.93986583333,2425.14716667
24,2003-01-01,589.582,3174.28416667,0.0329166666665,4.0565,7866.3515,,1577.72008333,3.77241666667,2381.75441667
25,2003-02-01,596.569240833,3199.72571667,0.0560474999999,4.19294083333,7952.5021275,,1618.91995333,3.84798916667,2387.4295
26,2003-03-01,610.6500475,3207.64881667,0.0864416666665,4.0526975,8030.72796,,1700.53457917,4.01240833333,2354.917
27,2003-04-01,617.521296667,3245.964815,0.1178125,3.94593,8125.21524167,,1759.98386667,4.09480416667,2336.44625
28,2003-05-01,610.9633175,3280.8387125,0.15347,3.7962475,8257.28767583,,1844.24501583,4.03023666667,2348.44266667
29,2003-06-01,610.59343,3301.21381583,0.211614166667,3.43039,8389.53110417,,1971.4814075,4.00632333333,2325.78733333
30,2003-07-01,609.855390833,3317.43147667,0.2071975,3.29178416667,8500.8522175,,2104.24209,3.95593166667,2282.09316667
31,2003-08-01,611.062885833,3306.559985,0.243408333333,3.34478916667,8565.42439917,,2183.5152425,3.90100083333,2286.37925
32,2003-09-01,606.730771667,3317.26614083,0.239825,3.2495925,8618.2343175,,2225.210485,3.86752583333,2310.68116667
33,2003-10-01,603.996301667,3324.898265,0.2833825,3.19955583333,8638.69700333,,2246.97568333,3.87885833333,2320.43808333
34,2003-11-01,594.841366667,3324.2531825,0.314223333333,3.02619083333,8615.5972725,,2246.2498475,3.8575575,2324.08708333
35,2003-12-01,589.171443333,3305.7409325,0.337354166667,3.365585,8629.774185,,2295.03355583,3.86388,2323.71266667
36,2004-01-01,581.095583333,3317.5463375,0.3554175,3.3763275,8713.67858833,,2355.411895,4.02188583333,2342.71741667
37,2004-02-01,565.388629167,3300.057065,0.376165,3.42154833333,8668.13405083,,2357.5604625,4.22707416667,2336.93775
38,2004-03-01,542.347885833,3265.21116,0.3939825,3.79830416667,8569.22739,,2320.89537167,4.3328475,2340.12783333
39,2004-04-01,520.777038333,3242.95260333,0.454535833333,4.00912333333,8463.34798667,,2237.5228125,4.53438166667,2371.07916667
40,2004-05-01,515.3057475,3252.60704833,0.530149166667,4.30091166667,8427.92142167,,2218.53547167,4.67692583333,2358.011
41,2004-06-01,514.899261667,3266.05817083,0.5989525,4.37443833333,8359.34285667,,2201.03587417,4.9058175,2301.32875
42,2004-07-01,511.683295,3264.88763,0.728973333333,4.4617675,8303.95240333,,2157.14379417,5.15206166667,2302.23225
43,2004-08-01,508.368465833,3285.05452667,0.81943,4.29155083333,8334.05176833,,2189.44908,5.42365166667,2293.45316667
44,2004-09-01,506.644578333,3288.78404583,0.930136666667,4.15537333333,8324.38798167,,2241.85334,5.6620325,2238.23825
