,DateTime,Hydro,Coal,Utility Solar,Petroleum Liquids,All,Wind,Natural Gas,Other Renewable,Nuclear
0,2001-01-01,98.6265,2364.95075,,251.80325,4088.5285,,146.7345,31.0846216667,1138.02225
1,2001-02-01,98.2550833333,2314.149,,229.244833333,4017.1665,,147.033166667,32.2740833333,1137.54975
2,2001-03-01,99.0673333333,2258.70391667,,216.916833333,3927.36066667,,146.222083333,35.6714316667,1112.03633333
3,2001-04-01,94.1968333333,2305.2065,,200.435333333,3920.02741667,,139.26675,36.4821266667,1085.50591667
4,2001-05-01,86.6833333333,2348.97166667,,189.88425,3948.73375,,141.32575,37.4062383333,1085.20825
5,2001-06-01,104.506583333,2343.856,,179.603916667,3926.054,,139.614166667,38.1644475,1060.28233333
6,2001-07-01,111.932333333,2344.69458333,,174.719333333,3903.53408333,,143.567166667,38.8158116667,1029.18058333
7,2001-08-01,111.95075,2360.23141667,,188.645916667,3939.77708333,,156.613583333,39.9915316667,1020.34625
8,2001-09-01,111.806416667,2359.7855,,168.159916667,3940.0375,,176.478,40.8642191667,1020.04408333
9,2001-10-01,110.59475,2369.62733333,,165.174416667,3952.72633333,,181.69325,41.7127508333,1019.93566667
10,2001-11-01,117.440666667,2320.26208333,,168.876166667,3916.30083333,,178.40525,42.2708891667,1023.96558333
11,2001-12-01,130.023916667,2326.50483333,,170.786666667,3925.57841667,,180.640083333,42.5878641667,1010.2515
12,2002-01-01,138.41575,2392.67108333,,190.202583333,4023.25708333,,184.535916667,43.4690691667,1010.66708333
13,2002-02-01,147.953833333,2475.02891667,,239.0265,4168.42608333,,188.9755,43.8247266667,1011.03883333
14,2002-03-01,144.40075,2548.271,,273.51275,4273.39816667,,192.172916667,41.2549166667,1011.8535
15,2002-04-01,156.223083333,2553.35608333,,287.258,4303.65158333,,191.03725,42.05699,1012.05216667
16,2002-05-01,162.774833333,2540.58083333,,303.30475,4323.58941667,,186.852,43.4098875,1025.79575
17,2002-06-01,155.4325,2492.80191667,,299.99525,4314.167,,185.02,44.4094766667,1077.4315
18,2002-07-01,163.459416667,2453.22008333,,297.174333333,4312.437,,185.062583333,44.7331758333,1111.63983333
19,2002-08-01,170.303416667,2454.05583333,,294.217833333,4307.75441667,,167.58425,45.4665891667,1121.94083333
20,2002-09-01,184.01375,2456.38891667,,317.167,4307.28483333,,127.969583333,46.4519741667,1123.277
21,2002-10-01,199.7485,2448.79066667,,322.243,4302.38441667,,110.228416667,46.9655958333,1124.53241667
22,2002-11-01,206.33525,2470.73791667,,309.220583333,4314.7295,,105.219666667,47.8797966667,1126.38858333
23,2002-12-01,212.829583333,2478.9025,,307.881583333,4341.37,,103.069583333,49.283645,1140.18733333
24,2003-01-01,220.582,2494.92375,,297.681833333,4353.68641667,,99.6369166667,49.67091,1140.89275
25,2003-02-01,222.4252075,2479.64410417,,289.477856667,4326.31205083,,97.3046391667,50.0626183333,1136.9775
26,2003-03-01,222.670469167,2483.475935,,264.683008333,4334.747435,,96.6939608333,50.550655,1165.87041667
27,2003-04-01,222.413091667,2495.5778175,,255.138964167,4389.25862083,,97.0159175,50.6154041667,1217.035
28,2003-05-01,224.213926667,2473.25681417,,254.075356667,4370.66197,,97.1705058333,50.05312,1219.66916667
29,2003-06-01,229.855129167,2514.6448325,,292.639706667,4454.00016333,,106.342256667,49.9812316667,1206.79675
30,2003-07-01,217.5461925,2546.2029925,,300.422385,4479.8288525,,102.864818333,50.3024375,1207.69325
31,2003-08-01,217.859591667,2531.66912583,,289.264870833,4451.6333675,,97.6407083333,50.3480975,1208.42108333
32,2003-09-01,219.6106525,2510.76146583,,285.963344167,4427.46073917,,94.0479333333,50.1373466667,1209.62558333
33,2003-10-01,218.883673333,2512.13797417,,283.447755,4430.59947417,,97.4262041667,50.1396675,1210.01875
34,2003-11-01,218.9206225,2505.0487925,,281.295229167,4421.29367083,,97.0456666667,50.0354858333,1210.68216667
35,2003-12-01,210.025668333,2464.50821833,,274.3089525,4366.79654417,,97.5543758333,49.0951391667,1213.15225
36,2004-01-01,208.960081667,2432.9548375,,274.7368125,4337.73082083,,98.6084158333,49.1006325,1215.02166667
37,2004-02-01,213.814505833,2409.31072083,,264.141428333,4314.5460525,,98.4657533333,49.0210991667,1221.46416667
38,2004-03-01,220.446834167,2379.10885167,,255.133995833,4266.246695,,97.3000275,48.8889425,1207.16675
39,2004-04-01,213.2127375,2368.90921833,,244.421026667,4213.37752833,,99.28429,48.7414191667,1181.18966667
40,2004-05-01,208.207165,2350.98133667,,219.0710775,4200.22088167,,98.3393191667,48.89072,1218.78916667
41,2004-06-01,193.782386667,2322.61916917,,178.427906667,4121.937875,,89.3120225,48.7385966667,1235.7145
42,2004-07-01,187.440236667,2336.166435,,194.906944167,4152.63737167,,98.0671033333,49.0261816667,1234.82458333
43,2004-08-01,181.531548333,2358.18721417,,224.335293333,4207.47587583,,110.188660833,48.8042416667,1232.8215
44,2004-09-01,166.493006667,2389.36611333,,226.1836375,4249.96156083,,135.43564,49.2457116667,1231.12591667
45,2004-10-01,152.270665833,2395.62978333,,250.3327025,4272.63617083,,142.783851667,49.5014016667,1230.06933333
46,2004-11-01,147.328535833,2424.35350583,,275.220185833,4331.90843167,,153.464245833,50.1313908333,1228.55125
47,2004-12-01,149.001759167,2446.11423583,,286.131544167,4367.78416167,,155.2350175,51.4297233333,1226.43991667
48,2005-01-01,141.9699175,2441.89935583,,317.13078,4388.46666833,,157.248870833,51.9470941667,1225.26841667
49,2005-02-01,147.522503333,2441.55555417,,285.131056667,4359.9707075,,156.170395,52.4422441667,1223.07325
50,2005-03-01,148.804314167,2462.82001083,,280.8193975,4374.28593833,,156.336629167,52.7517408333,1218.52875
51,2005-04-01,142.5819875,2482.56573167,,271.099768333,4353.61963833,,156.521364167,53.2208283333,1193.401
52,2005-05-01,134.9591,2495.96064917,,270.676986667,4338.61539833,,156.2170275,53.2267516667,1172.31016667
53,2005-06-01,137.569880833,2505.84709917,,269.296158333,4354.07546833,,158.192179167,53.4648308333,1171.986
54,2005-07-01,145.698925,2489.45837333,,231.071786667,4303.89388,,153.524149167,53.3707025,1172.50891667
55,2005-08-01,155.5834125,2487.978995,,192.240240833,4288.85968917,,170.361424167,53.5651541667,1173.28683333
56,2005-09-01,159.63824,2484.63262167,,162.090298333,4258.44800583,,170.092909167,53.4210125,1173.81033333
57,2005-10-01,169.769355833,2458.79855,,129.686484167,4201.34534667,,160.012165833,53.1088658333,1175.04291667
58,2005-11-01,171.443941667,2464.45586667,,104.186663333,4173.4758975,,150.872479167,52.8387841667,1175.41358333
59,2005-12-01,179.19684,2454.37747417,,93.3805258333,4148.9790775,,149.1322075,52.3941008333,1167.40316667
60,2006-01-01,175.356250833,2450.66851917,,48.3938208333,4079.73997083,,147.517189167,52.1800625,1152.53425
61,2006-02-01,170.267553333,2460.16260417,,47.6381,4083.0287775,,148.387780833,52.0159608333,1152.64666667
62,2006-03-01,158.252745833,2468.24807,,73.1599516667,4117.8649175,,153.572071667,51.8000358333,1160.41591667
63,2006-04-01,172.011329167,2449.90328417,,79.5537075,4119.97016667,,153.338273333,51.0787516667,1161.50925
64,2006-05-01,183.35089,2440.91712,,81.3109866667,4139.51453333,,154.3842625,51.1247166667,1175.4645
65,2006-06-01,185.156163333,2471.10768167,,81.3467091667,4171.674855,,155.408233333,51.3026808333,1175.4135
66,2006-07-01,176.743923333,2483.49906833,,83.84684,4178.6479725,,154.55891,51.6256058333,1174.98241667
67,2006-08-01,164.5335175,2471.05910167,,76.8999233333,4136.533915,,141.013049167,51.7252066667,1175.17016667
68,2006-09-01,162.533791667,2460.97465917,,75.6906983333,4137.2466825,,155.340493333,51.4462375,1174.56625
69,2006-10-01,152.130520833,2461.47886583,,79.3681008333,4148.05057333,,174.002025,51.3757991667,1173.73708333
70,2006-11-01,142.9106,2437.118,,81.00396,4124.91493583,,185.151433333,51.4739291667,1171.79358333
71,2006-12-01,131.216455,2457.11439083,,80.5547333333,4142.21411583,,185.7489725,50.98666,1180.92166667
72,2007-01-01,137.684705833,2474.93217833,,82.069235,4183.16031833,,186.743903333,50.288475,1196.09933333
73,2007-02-01,139.938134167,2472.946655,,82.2605108333,4186.2436875,,187.860024167,49.9428175,1197.54341667
74,2007-03-01,158.268525,2462.03350083,,57.2166316667,4161.96924667,,183.27042,49.5436766667,1196.1825
75,2007-04-01,159.851115,2463.13303917,,50.76794,4186.37202083,,184.297039167,50.0261175,1222.47641667
76,2007-05-01,157.25609,2443.65198917,,48.2208,4167.35173583,,182.953356667,50.2554725,1229.17633333
77,2007-06-01,163.686075,2383.00935083,,47.9501,4109.90121833,,180.046025833,49.644675,1228.25
78,2007-07-01,164.983354167,2381.45758667,,46.8748791667,4116.88301417,,189.55747,49.82193,1227.4675
79,2007-08-01,167.112853333,2388.07611417,,48.6864225,4133.59035083,,198.458170833,49.6248333333,1225.43141667
80,2007-09-01,166.438404167,2361.49506,,39.265625,4058.17336583,,160.135999167,50.0260883333,1224.08975
81,2007-10-01,167.639584167,2354.6656525,,36.8483183333,4044.08927,,154.4309475,50.4207291667,1223.251
82,2007-11-01,167.228568333,2310.11834833,,35.4176958333,3988.85807583,,145.785259167,50.0944083333,1223.966
83,2007-12-01,162.830420833,2273.96695417,,35.18086,3956.81989833,,156.579521667,50.3909566667,1223.83358333
84,2008-01-01,164.506500833,2268.18656,,33.8200183333,3946.74607667,,154.012290833,51.04045,1223.22458333
85,2008-02-01,152.636515833,2278.09719083,,39.0620333333,3950.03226333,,158.047509167,50.8574391667,1222.26216667
86,2008-03-01,140.946136667,2245.4926375,,35.9725658333,3899.87782833,,159.920565,50.4710025,1220.21866667
87,2008-04-01,131.648456667,2212.70795583,,40.9796883333,3863.02721417,,164.980306667,50.0145741667,1217.21858333
88,2008-05-01,127.166045,2240.24257417,,41.0478058333,3885.79229333,,166.4052375,49.6525408333,1217.04425
89,2008-06-01,123.142144167,2276.40421417,,39.9528275,3912.66359,,164.695196667,49.2835758333,1217.02933333
90,2008-07-01,130.6729425,2233.41982917,,35.2471308333,3857.73561833,,151.463833333,48.7646708333,1216.59616667
91,2008-08-01,133.780601667,2180.61903167,,31.2203683333,3779.0577275,,134.850415833,48.0858566667,1209.63458333
92,2008-09-01,143.045226667,2167.152095,,30.7987633333,3799.72467417,,160.751808333,47.8904058333,1210.52508333
93,2008-10-01,145.075128333,2091.9235675,,29.4552475,3720.7784325,,156.7336625,47.1806633333,1211.58866667
94,2008-11-01,153.396274167,2065.2143025,,29.7305608333,3702.95105583,,155.701693333,47.151055,1212.3815
95,2008-12-01,159.7830975,2008.05708333,,29.4602016667,3640.83497583,,143.4546675,46.368225,1212.22733333
96,2009-01-01,157.3974175,2013.52879083,,27.4916866667,3647.90266583,,147.320405833,45.8983058333,1212.50991667
97,2009-02-01,160.640670833,1980.37434583,,18.7589466667,3607.02480833,,142.328655833,45.7650283333,1213.22341667
98,2009-03-01,158.831814167,1981.62853833,,18.7972358333,3579.37917,,139.168445,45.7245575,1188.04516667
99,2009-04-01,163.995490833,1963.3920625,,13.3361641667,3544.37542583,,132.511255,45.6760733333,1176.88175
100,2009-05-01,163.100623333,1898.54058417,,13.3723441667,3483.38739,,135.755804167,45.9497116667,1176.68258333
101,2009-06-01,161.004475833,1883.8911475,,14.0614566667,3467.6448275,,147.071628333,46.5238658333,1164.10325
102,2009-07-01,154.026501667,1900.66507833,,15.3775625,3503.733265,,173.359076667,46.6544566667,1162.57875
103,2009-08-01,149.696429167,1929.50815417,,19.5389075,3587.06120167,,222.032121667,47.0844008333,1168.41516667
104,2009-09-01,140.5356625,1933.73516,,22.1866858333,3587.35143583,,227.810861667,46.9916725,1167.48458333
105,2009-10-01,137.810028333,1977.74499917,,24.1115716667,3643.195715,,242.789723333,47.4282675,1166.54441667
106,2009-11-01,140.689724167,1976.0515825,,24.28472,3639.21990833,,239.72699,47.5019683333,1166.3525
107,2009-12-01,140.257189167,1985.96556333,,23.982695,3646.26716667,,238.736393333,48.4853741667,1166.10983333
108,2010-01-01,138.9496675,1972.350445,,26.8698225,3633.93866,,241.414876667,47.8054541667,1166.16233333
109,2010-02-01,128.710915833,1983.0604,,26.8799483333,3631.09014083,,238.919731667,49.1178266667,1166.42175
110,2010-03-01,130.157134167,1938.0071025,,26.0557433333,3596.00163917,,236.8200525,51.7752908333,1176.64775
111,2010-04-01,135.987865,1941.30978417,,25.92675,3615.2068975,,235.237398333,53.4335475,1189.83683333
112,2010-05-01,146.9890125,1951.37644833,,26.069965,3635.8090975,,235.0292425,55.3627625,1190.39941667
113,2010-06-01,161.582736667,1956.25515833,,25.8208291667,3670.87818833,,239.852860833,55.8132158333,1203.5395
114,2010-07-01,167.732434167,1932.5353875,,26.6901891667,3641.19089417,,229.361209167,56.4213783333,1201.39775
115,2010-08-01,169.057664167,1919.22743,,25.9231116667,3628.89148917,,226.672629167,57.04516,1203.01183333
116,2010-09-01,172.435245,1886.78496,,23.4804658333,3578.2263725,,209.113725,58.1738841667,1197.73733333
117,2010-10-01,187.8169225,1847.06794417,,21.9656475,3543.18170417,,196.551225833,59.0198291667,1197.98208333
118,2010-11-01,198.20245,1852.01423833,,21.1294008333,3562.84634167,,197.194669167,61.2296941667,1197.78525
119,2010-12-01,204.264565833,1856.46773667,0.216606666667,21.3217566667,3578.36292,19.637765,196.545919167,64.2127416667,1199.17616667
120,2011-01-01,212.260251667,1754.91135167,0.225501666667,19.0805608333,3484.839015,22.5594166667,192.55504,68.4784283333,1199.78641667
121,2011-02-01,227.913889167,1628.82605583,0.2475,17.7824575,3377.44310083,25.2701708333,192.967805,71.5264266667,1199.9145
122,2011-03-01,229.547513333,1561.46458583,0.2614275,16.7665116667,3296.24214833,26.4358183333,192.392218333,72.8579833333,1183.01075
123,2011-04-01,218.106565,1466.40316083,0.303658333333,17.871575,3189.41759417,27.2273616667,216.514608333,72.3554758333,1156.713
124,2011-05-01,200.450800833,1426.764425,0.364543333333,17.6088591667,3178.558235,27.6069408333,278.832149167,71.9735925,1138.96591667
125,2011-06-01,192.197785,1383.60248083,0.416895833333,17.2796725,3181.68277833,27.9322675,330.246878333,72.4554991667,1139.84216667
126,2011-07-01,190.404159167,1322.2064675,0.46915,16.1424391667,3133.37830917,28.7759666667,340.57888,73.7947141667,1145.02133333
127,2011-08-01,188.7877725,1312.78997917,0.78931,13.6064858333,3113.26224917,29.6209966667,341.7242425,74.9676308333,1138.54708333
128,2011-09-01,185.914825,1294.69171083,1.04226083333,13.6742066667,3107.37790167,28.9827441667,361.443783333,74.7136475,1136.57608333
129,2011-10-01,172.118354167,1294.73210583,1.23791,13.042545,3102.48692667,28.6815783333,371.707396667,74.9908083333,1137.67183333
