,DateTime,Hydro,Coal,Utility Solar,Petroleum Liquids,All,Wind,Natural Gas,Petroleum Coke,Other Renewable
0,2001-01-01,551.123083333,1419.65691667,,0.0710833333333,2019.37391667,,1.67408333333,41.3966666667,5.45208333333
1,2001-02-01,553.068,1379.266,,0.144916666667,1982.35341667,,1.60958333333,42.58475,5.48758333333
2,2001-03-01,554.39275,1365.09366667,,0.224,1969.87633333,,1.575,42.83725,5.42091666667
3,2001-04-01,561.296416667,1376.79833333,,0.25025,1990.23908333,,1.54758333333,44.5711666667,5.34033333333
4,2001-05-01,574.73825,1408.1745,,0.259166666667,2038.20483333,,1.53808333333,47.6393333333,5.26966666667
5,2001-06-01,597.739416667,1425.38716667,,0.3695,2078.99016667,,1.62041666667,47.97025,5.18225
6,2001-07-01,654.911166667,1392.88766667,,0.4215,2104.28258333,,1.72166666667,48.2236666667,5.17316666667
7,2001-08-01,712.3645,1339.73633333,,0.514916666667,2109.037,,1.57766666667,48.7105833333,5.04475
8,2001-09-01,752.314416667,1338.01283333,,0.865583333333,2146.88783333,,1.48791666667,48.0505,5.03016666667
9,2001-10-01,762.167666667,1336.2865,,0.987333333333,2150.80358333,,1.54133333333,43.739,4.91308333333
10,2001-11-01,763.120583333,1317.63041667,,1.05741666667,2131.26191667,,1.53133333333,41.4841666667,5.113
11,2001-12-01,771.065083333,1308.2665,,1.14525,2127.29708333,,1.476,38.6733333333,5.22808333333
12,2002-01-01,797.242583333,1278.15241667,,1.153,2122.80883333,,1.38983333333,37.98525,5.28908333333
13,2002-02-01,782.02,1307.54266667,,1.20358333333,2135.78375,,1.41133333333,36.6805833333,5.3385
14,2002-03-01,774.243,1321.50691667,,1.20283333333,2142.08016667,,1.507,36.6470833333,5.40983333333
15,2002-04-01,773.544166667,1309.92258333,,1.22883333333,2128.53516667,,1.5975,35.05675,5.51933333333
16,2002-05-01,780.123166667,1265.918,,1.319,2088.1535,,1.60625,31.9910833333,5.58691666667
17,2002-06-01,782.65275,1253.47408333,,1.3645,2078.25908333,,1.53608333333,31.9590833333,5.68375
18,2002-07-01,772.541666667,1310.65816667,,1.32775,2125.48033333,,1.59725,32.0574166667,5.70675
19,2002-08-01,751.406083333,1365.8945,,1.43616666667,2158.95258333,,1.56366666667,31.2394166667,5.80375
