,DateTime,Hydro,Coal,Utility Solar,Petroleum Liquids,All,Wind,Other Renewable,Geothermal
0,2001-01-01,8.39583333333,133.730333333,,685.318583333,886.091,0.176833333333,41.3685308333,17.216
1,2001-02-01,8.63575,133.713916667,,686.858,887.413083333,0.17425,40.7648158333,16.83075
2,2001-03-01,8.76941666667,132.416,,691.452833333,890.8055,0.180416666667,40.665195,16.6965833333
3,2001-04-01,8.87675,131.597416667,,697.45425,896.575583333,0.176333333333,40.95155,16.1655
4,2001-05-01,8.50641666667,133.213916667,,709.013166667,906.11925,0.158166666667,38.83088,14.89675
5,2001-06-01,8.51691666667,133.178666667,,718.880083333,914.537916667,0.152583333333,37.6427491667,13.5418333333
6,2001-07-01,8.55666666667,132.82425,,729.834333333,923.96,0.160666666667,36.7116075,12.2855833333
7,2001-08-01,8.75641666667,132.89625,,738.305416667,932.136416667,0.16175,36.3008433333,11.1074166667
8,2001-09-01,8.74075,132.074416667,,748.332083333,940.818,0.156666666667,35.9203333333,10.11575
9,2001-10-01,8.69258333333,131.839333333,,757.727166667,949.908916667,0.1495,35.9855716667,9.71016666667
10,2001-11-01,8.33483333333,129.469083333,,770.828333333,958.145583333,0.142,34.0180633333,8.41791666667
11,2001-12-01,8.03116666667,128.806166667,,780.516916667,964.90025,0.141583333333,32.2219158333,7.18075
12,2002-01-01,7.92225,128.816333333,,788.915916667,971.92275,0.13475,30.9101666667,6.06341666667
13,2002-02-01,7.60691666667,129.546666667,,782.315166667,964.625416667,0.131833333333,29.74086,5.01141666667
14,2002-03-01,7.38375,130.57,,777.4915,959.835083333,0.126916666667,28.7733408333,4.35075
15,2002-04-01,7.19041666667,131.79375,,772.2665,955.982416667,0.123666666667,28.9278825,4.19325
16,2002-05-01,7.43816666667,132.091833333,,761.137666667,948.772833333,0.132833333333,31.3057575,5.31383333333
17,2002-06-01,7.36933333333,132.050833333,,754.032333333,943.29975,0.1375,32.84775,6.28366666667
18,2002-07-01,7.39716666667,132.397666667,,746.922,937.764833333,0.132666666667,33.9052075,7.48716666667
19,2002-08-01,7.29858333333,132.553666667,,740.965583333,932.798666667,0.130666666667,34.9313691667,8.81291666667
20,2002-09-01,7.13025,133.449,,732.693666667,926.436833333,0.13675,35.9654808333,10.095
21,2002-10-01,6.99841666667,132.72225,,728.424916667,922.38425,0.133333333333,37.0288341667,11.29125
22,2002-11-01,7.027,135.631,,721.645583333,920.661333333,0.12775,39.1888975,12.3370833333
23,2002-12-01,7.19316666667,135.823166667,,715.028916667,917.57575,0.128666666667,42.0137058333,13.61925
24,2003-01-01,7.54208333333,137.011416667,,708.546,914.697583333,0.131166666667,43.9191291667,14.8576666667
25,2003-02-01,7.43719666667,135.897006667,,712.267199167,919.339555,0.151961666667,46.0705416667,16.07325
26,2003-03-01,7.49159,135.7767125,,717.6071725,926.536463333,0.172985,47.9295941667,17.1150833333
27,2003-04-01,8.05709416667,134.631901667,,719.127266667,927.271719167,0.21448,47.9260466667,17.8480833333
28,2003-05-01,9.07824833333,132.5351625,,723.3804625,930.8371125,0.258139166667,48.1003083333,18.05125
29,2003-06-01,9.21781416667,132.2277675,,725.576093333,932.311133333,0.299761666667,47.4914458333,18.01675
30,2003-07-01,9.21135083333,131.549605833,,729.179025,934.914585,0.3725775,47.2177141667,17.9943333333
31,2003-08-01,8.80565083333,130.893554167,,732.927793333,937.574754167,0.444661666667,46.89122,17.9238333333
32,2003-09-01,8.47324166667,131.043351667,,737.028579167,941.478048333,0.49343,46.7353058333,17.9033333333
33,2003-10-01,7.96515833333,132.4060025,,740.01441,944.944621667,0.536125,46.4886508333,17.8916666667
34,2003-11-01,7.62123833333,132.901321667,,740.815274167,945.212093333,0.5725075,45.8773191667,17.8041666667
35,2003-12-01,7.52219583333,133.572329167,,743.1367875,947.943186667,0.59044,45.5999058333,17.7748333333
36,2004-01-01,7.825065,133.645943333,,745.391355833,950.8668825,0.624583333333,45.8012116667,17.774
37,2004-02-01,7.76739666667,134.034258333,,749.316744167,955.1025475,0.629624166667,45.8799775,17.8110833333
38,2004-03-01,7.4764575,133.571799167,,744.369264167,949.438968333,0.63363,45.7903966667,17.74725
39,2004-04-01,6.7332425,134.455671667,,740.961874167,948.032730833,0.632426666667,46.9591783333,17.7836666667
40,2004-05-01,5.909755,136.5799925,,739.858280833,946.3771825,0.63473,45.7715991667,17.5009166667
41,2004-06-01,5.99439333333,137.005385833,,741.8915775,948.186359167,0.636659166667,45.6313841667,17.82925
42,2004-07-01,6.184715,137.765456667,,740.914763333,948.125695833,0.61659,45.7675708333,17.87425
43,2004-08-01,6.86015666667,138.493884167,,743.867748333,952.229830833,0.585548333333,45.8158991667,18.02925
44,2004-09-01,7.37840083333,138.0968025,,750.281656667,957.604988333,0.558975,45.3342458333,18.1555833333
45,2004-10-01,8.11389,137.2716625,,754.615198333,961.807415,0.5564725,45.36538,18.2821666667
46,2004-11-01,8.72277083333,136.8092075,,752.700836667,959.6177075,0.558334166667,45.0764933333,18.2548333333
47,2004-12-01,8.86332416667,136.360086667,,750.349715,956.580885,0.563670833333,44.9182075,18.2976666667
48,2005-01-01,8.01566166667,135.9098375,,755.632668333,960.23378,0.5526675,44.83072,18.4664166667
49,2005-02-01,8.71153666667,132.976325,,755.711671667,958.290149167,0.542684166667,45.0408066667,18.5898333333
50,2005-03-01,9.16981333333,131.315674167,,758.37826,959.705400833,0.522485,45.2420408333,18.6300833333
51,2005-04-01,9.9071625,131.079369167,,760.96072,962.556721667,0.493420833333,45.1788683333,18.776
52,2005-05-01,10.0540675,130.974824167,,760.44908,963.228078333,0.463851666667,45.9460675,18.9179166667
53,2005-06-01,10.2308566667,129.826519167,,759.043926667,962.551460833,0.679435833333,46.8963116667,19.1495833333
54,2005-07-01,10.1293116667,129.545119167,,762.845900833,966.650015,1.40291666667,47.3280258333,19.3554166667
55,2005-08-01,9.89686416667,129.5676975,,760.517368333,964.672590833,2.6137125,47.9451341667,19.1270833333
56,2005-09-01,9.77727333333,129.833274167,,761.573575,966.431186667,3.71290333333,48.52323,18.7491666667
57,2005-10-01,9.66435,130.181099167,,755.437649167,961.514833333,4.61064583333,49.0583441667,18.3186666667
58,2005-11-01,9.66283333333,129.592401667,,756.202985,963.379276667,5.1610825,50.2488691667,18.3956666667
59,2005-12-01,9.65061416667,129.387175833,,759.605308333,967.246044167,5.7633175,50.6325375,17.9675833333
60,2006-01-01,10.0072683333,129.0495975,,754.539460833,963.264470833,6.63950083333,51.4701908333,17.6896666667
61,2006-02-01,10.1343133333,132.769804167,,752.135083333,964.718040833,7.36462333333,51.3466858333,17.56375
62,2006-03-01,9.92735416667,135.527819167,,751.928915,966.280120833,8.0802975,50.8241866667,17.6409166667
63,2006-04-01,9.3792175,135.975275833,,754.1811675,968.533134167,8.70925083333,50.97549,17.6824166667
64,2006-05-01,9.12169333333,136.099025833,,754.456046667,970.738559167,10.4357008333,52.966515,17.6511666667
65,2006-06-01,8.157885,137.1771075,,755.7733175,972.970399167,11.5202916667,54.1272816667,17.642
66,2006-07-01,7.56085,137.552055833,,752.180326667,970.427393333,12.5516141667,55.69808,17.6255
67,2006-08-01,7.12662416667,137.261236667,,749.965299167,969.254779167,13.9349458333,57.5562191667,17.88225
