,DateTime,Hydro,Coal,Petroleum Liquids,All,Wind,Natural Gas,Other Renewable
0,2001-01-01,79.3285833333,6684.53366667,23.223,6819.72708333,,22.98875,1.29393583333
1,2001-02-01,79.5773333333,6653.74116667,23.6125833333,6790.36508333,,23.2984166667,1.2137875
2,2001-03-01,76.6095833333,6700.74183333,23.26325,6834.25058333,,23.1938333333,1.05654083333
3,2001-04-01,74.7554166667,6765.68358333,24.1773333333,6899.861,,24.4611666667,0.885016666667
4,2001-05-01,78.1053333333,6810.43158333,24.2031666667,6949.85416667,,25.9229166667,0.701055833333
5,2001-06-01,81.0846666667,6870.8785,24.8434166667,7014.12858333,,25.9179166667,0.49653
6,2001-07-01,77.3218333333,6923.83416667,24.5274166667,7064.70775,,27.0498333333,0.351534166667
7,2001-08-01,75.9164166667,6995.23416667,24.51825,7133.82833333,,25.4095,0.272988333333
8,2001-09-01,72.00975,7008.68816667,23.1925833333,7138.95058333,,21.7004166667,0.237161666667
9,2001-10-01,71.3068333333,7097.90816667,23.6045,7228.59525,,21.4943333333,0.293333333333
10,2001-11-01,74.4615833333,7308.19125,24.1651666667,7442.54283333,,21.0066666667,0.313916666667
11,2001-12-01,82.9803333333,7560.71233333,23.95775,7703.2715,,20.2370833333,0.432416666667
12,2002-01-01,88.8114166667,7745.943,24.7989166667,7896.81266667,,20.0950833333,1.21691666667
13,2002-02-01,90.9653333333,7778.06366667,25.2416666667,7932.75366667,,20.0159166667,2.558
14,2002-03-01,92.7701666667,7807.91616667,26.6865833333,7966.85858333,,19.8828333333,3.81116666667
15,2002-04-01,93.6101666667,7788.83125,24.6364166667,7947.16425,,19.1755,5.22133333333
16,2002-05-01,92.1506666667,7821.07675,24.68025,7978.6335,,18.493,6.66808333333
17,2002-06-01,92.008,7843.71983333,24.3841666667,8002.26008333,,18.50875,7.84233333333
18,2002-07-01,97.1,7854.88908333,24.0560833333,8018.59241667,,18.04875,8.64908333333
19,2002-08-01,101.330083333,7784.00875,23.2623333333,7952.3705,,18.6866666667,9.57066666667
20,2002-09-01,108.56625,7803.96316667,23.2129166667,7981.33433333,,20.24225,9.9035
21,2002-10-01,114.70675,7831.77541667,22.9430833333,8016.69783333,,20.9954166667,10.84025
